param:		Ka_load    	Ka_gen    	Pa_load	    Pa_loadMax    	Pa_genMax    	theta  	    V		:=
	B1		10          261           0.0         0.0      	    232.4              0.0   	1060
	B2		230     	210          21.7        21.7      	     40.0            -4.98      1045
	B3		174      	154          94.2        94.2      	      0.0           -12.72      1010
	B4		48        	28           47.8        47.8      	      0.0           -10.33      1019
	B5		197       	177           7.6         7.6      	      0.0            -8.78      1020
	B6		156       	136          11.2        11.2      	      0.0           -14.22      1070
	B7		203        	183           0.0         0.0      	      0.0			-13.37      1062
	B8		10 			261			  0.0	      0.0		      0.0			-13.36      1090
	B9		230			210			 29.5	     29.5		      0.0			-14.94      1056
	B10		174			154			  9.0	      9.0		      0.0			-15.10      1051
	B11		48 			28 			  3.5	      3.5		      0.0			-14.79      1057
	B12		197			177			  6.1	      6.1		      0.0			-15.07      1055
	B13		156			136			 13.5	     13.5		      0.0			-15.16      1050
	B14     203         183 		 14.9	     14.9		      0.0			-16.04      1036
	;

param:      tapBusNumber    zBusNumber      resistanceR     reactanceX
    L1       1               2              0.01938         0.05917         4.9991317
    L2       1               5              0.05403         0.22304         1.0258975
    L3       2               3              0.04699         0.19797         1.1350192
    L4       2               4              0.05811         0.17632         1.6860331
    L5       2               5              0.05695         0.17388         1.7011397
    L6       3               4              0.06701         0.17103         1.9859757
    L7       4               5              0.01335         0.04211         6.840981
    L8       4               7              0.0             0.20912         0.0
    L9       4               9              0.0             0.55618         0.0
    L10      5               6              0.0             0.25202         0.0
    L11      6              11              0.09498         0.19890         1.9550287
    L12      6              12              0.12291         0.25581         1.5259676
    L13      6              13              0.06615         0.13027         3.0989275
    L14      7               8              0.0             0.17615         0.0
    L15      7               9              0.0             0.11001         0.0
    L16      9              10              0.03181         0.08450         3.9020495
    L17      9              14              0.12711         0.27038         1.4240056
    L18     10              11              0.08205         0.19207         1.8808848
    L19     12              13              0.22092         0.19988         2.4890244
    L20     13              14              0.17093         0.34802         1.1369941
    ;

param Yab:
		    B1      B2      B3      B4      B5      B6      B7      B8      B9      B10     B11     B12     B13     B14
	B1		999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B2		999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B3		999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B4		999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B5		999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B6		999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B7		999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B8		999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B9		999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B10		999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
    B11	    999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B12     999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B13     999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	B14     999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999  999999
	;

	4.9991317
    1.0258975
    1.1350192
    1.6860331
    1.7011397
    1.9859757
    6.840981
    0.0
    0.0
    0.0
    1.9550287
    1.5259676
    3.0989275
    0.0
    0.0
    3.9020495
    1.4240056
    1.8808848
    2.4890244
    1.1369941

param Y_ab:
   		    B1      B2      B3      B4      B5      B6      B7      B8      B9      B10     B11     B12     B13     B14 :=
   	B1		0       16.06   0       0       4.357   0       0       0       0       0       0       0       0       0
   	B2		0       0       4.914   5.386   5.465   0       0       0       0       0       0       0       0       0
   	B3		0       0       0       5.443   0       0       0       0       0       0       0       0       0       0
   	B4		0       0       0       0       22.63   0       4.781   1.797   0       0       0       0       0       0
   	B5		0       0       0       0       0       3.967   0       0       0       0       0       0       0       0
   	B6		0       0       0       0       0       0       0       0       0       0       4.536   3.523   6.844   0
   	B7		0       0       0       0       0       0       0       5.676   9.090   0       0       0       0       0
   	B8		0       0       0       0       0       0       0       0       0       0       0       0       0       0
   	B9		0       0       0       0       0       0       0       0       0       11.07   0       0       0       3.347
   	B10		0       0       0       0       0       0       0       0       0       0       4.787   0       0       0
    B11	    0       0       0       0       0       0       0       0       0       0       0       0       0       0
   	B12     0       0       0       0       0       0       0       0       0       0       0       0       3.356   0
   	B13     0       0       0       0       0       0       0       0       0       0       0       0       0       2.579
   	B14     0       0       0       0       0       0       0       0       0       0       0       0       0       0
   	;

param Y_ab:
   		    B1      B2      B3      B4      B5      B6      B7      B8      B9      B10     B11     B12     B13     B14 :=
   	B1		0       0       0       0       0       0       0       0       0       0       0       0       0       0
   	B2		16.06   0       0       0       0       0       0       0       0       0       0       0       0       0
   	B3		0       4.914   0       0       0       0       0       0       0       0       0       0       0       0
   	B4		0       5.386   5.443   0       0       0       0       0       0       0       0       0       0       0
   	B5		4.357   5.465   0       22.63   0       0       0       0       0       0       0       0       0       0
   	B6		0       0       0       0       3.967   0       0       0       0       0       0       0       0       0
   	B7		0       0       0       4.781   0       0       0       0       0       0       0       0       0       0
   	B8		0       0       0       0       0       0       5.676   0       0       0       0       0       0       0
   	B9		0       0       0       1.797   0       0       9.090   0       0       0       0       0       0       0
   	B10		0       0       0       0       0       0       0       0       11.07   0       0       0       0       0
    B11	    0       0       0       0       0       4.536   0       0       0       4.787   0       0       0       0
