# Result file for 17_summer:
# Time: 2023-01-13T17:13:08.903834800

node_nr        result_name         objective      UP             LMP            LP+            is_competitive total_bal_cost node_load      total_load     
0              balanced.dat        -3431890,09    590            nu             nu             0              3431890,09     null           null           
0              unconstrained.dat   -3289750,17    590            nu             nu             0              3289750,17     null           null           
1              1.dat               -3432269,29    590            379,20         379,20         0              3432269,29     78,17835       10161,14951    
2              2.dat               -3432264,17    590            374,08         374,08         0              3432264,17     68,60673       10161,14951    
3              3.dat               -3432227,97    590            337,89         337,89         0              3432227,97     58,32385       10161,14951    
4              4.dat               -3432288,47    590            398,38         398,38         0              3432288,47     15,10477       10161,14951    
5              5.dat               -3432259,09    590            369,00         369,00         0              3432259,09     182,13503      10161,14951    
6              6.dat               -3432279,91    590            389,82         389,82         0              3432279,91     70,31377       10161,14951    
7              7.dat               -3432323,68    590            433,59         433,59         0              3432323,68     230,06423      10161,14951    
8              8.dat               -3432429,73    590            539,65         539,65         0              3432429,73     15,10477       10161,14951    
9              9.dat               -3432362,23    590            472,14         472,14         0              3432362,23     141,16608      10161,14951    
10             10.dat              -3432322,37    590            432,28         432,28         0              3432322,37     93,31816       10161,14951    
11             11.dat              -3432322,37    590            432,28         432,28         0              3432322,37     38,87579       10161,14951    
12             12.dat              -3432319,92    590            429,83         429,83         0              3432319,92     73,79898       10161,14951    
13             13.dat              -3432279,91    590            389,82         389,82         0              3432279,91     70,31377       10161,14951    
14             14.dat              -3432269,29    590            379,20         379,20         0              3432269,29     78,17835       10161,14951    
15             15.dat              -3432356,09    590            466,00         466,00         0              3432356,09     81,64323       10161,14951    
16             16.dat              -3432347,06    590            456,98         456,98         0              3432347,06     81,64323       10161,14951    
17             17.dat              -3432326,23    590            436,15         436,15         0              3432326,23     147,59796      10161,14951    
18             18.dat              -3432328,74    590            438,66         438,66         0              3432328,74     9,98504        10161,14951    
19             19.dat              -3432378,25    590            488,17         488,17         0              3432378,25     119,33020      10161,14951    
20             20.dat              -3432326,34    590            436,25         436,25         0              3432326,34     60,03089       10161,14951    
21             21.dat              -3432274,34    590            384,26         384,26         0              3432274,34     6,72990        10161,14951    
22             22.dat              -3432280,38    590            390,30         390,30         0              3432280,38     62,89628       10161,14951    
23             23.dat              -3432293,21    590            403,13         403,13         0              3432293,21     171,52700      10161,14951    
24             24.dat              -3432298,98    590            408,89         408,89         0              3432298,98     171,52700      10161,14951    
25             25.dat              -3432302,57    590            412,48         412,48         0              3432302,57     18,35339       10161,14951    
26             26.dat              -3432327,30    590            437,21         437,21         0              3432327,30     88,55268       10161,14951    
27             27.dat              -3432333,99    590            443,90         443,90         0              3432333,99     177,11552      10161,14951    
28             28.dat              -3432501,16    590            611,07         611,07         0              3432501,16     119,33020      10161,14951    
29             29.dat              -3432297,61    590            407,52         407,52         0              3432297,61     73,79898       10161,14951    
30             30.dat              -3432367,65    590            477,57         477,57         0              3432367,65     4,15971        10161,14951    
31             31.dat              -3432227,97    590            337,89         337,89         0              3432227,97     6,24065        10161,14951    
