# Result file for 8_summer_p:
# Time: 2023-01-13T17:13:08.885838200

node_nr        result_name         objective      UP             LMP            LP+            is_competitive total_bal_cost node_load      total_load     
0              balanced.dat        -4961735,57    590            nu             nu             0              4961735,57     null           null           
0              unconstrained.dat   -4670882,76    590            nu             nu             0              4670882,76     null           null           
1              1.dat               -4962123,73    590            388,16         388,16         0              4962123,73     106,19711      13802,85912    
2              2.dat               -4962122,95    590            387,38         387,38         0              4962122,95     93,19507       13802,85912    
3              3.dat               -4962136,06    590            400,48         400,48         0              4962136,06     79,22686       13802,85912    
4              4.dat               -4962126,27    590            390,69         390,69         0              4962126,27     20,51825       13802,85912    
5              5.dat               -4962112,57    590            377,00         377,00         0              4962112,57     247,41139      13802,85912    
6              6.dat               -4962125,54    590            389,97         389,97         0              4962125,54     95,51391       13802,85912    
7              7.dat               -4962131,07    590            395,50         395,50         0              4962131,07     312,51820      13802,85912    
8              8.dat               -4962136,25    590            400,67         400,67         0              4962136,25     20,51825       13802,85912    
9              9.dat               -4962292,83    590            557,26         557,26         0              4962292,83     191,75936      13802,85912    
10             10.dat              -4962130,99    590            395,42         395,42         0              4962130,99     126,76297      13802,85912    
11             11.dat              -4962130,99    590            395,42         395,42         0              4962130,99     52,80870       13802,85912    
12             12.dat              -4962264,17    590            528,59         528,59         0              4962264,17     100,24820      13802,85912    
13             13.dat              -4962125,54    590            389,97         389,97         0              4962125,54     95,51391       13802,85912    
14             14.dat              -4962123,73    590            388,16         388,16         0              4962123,73     106,19711      13802,85912    
15             15.dat              -4962291,42    590            555,84         555,84         0              4962291,42     110,90379      13802,85912    
16             16.dat              -4962291,62    590            556,04         556,04         0              4962291,62     110,90379      13802,85912    
17             17.dat              -4962270,13    590            534,56         534,56         0              4962270,13     200,49639      13802,85912    
18             18.dat              -4962131,39    590            395,82         395,82         0              4962131,39     13,56364       13802,85912    
19             19.dat              -4962310,61    590            575,04         575,04         0              4962310,61     162,09759      13802,85912    
20             20.dat              -4962266,22    590            530,64         530,64         0              4962266,22     81,54569       13802,85912    
21             21.dat              -4962138,41    590            402,84         402,84         0              4962138,41     9,14187        13802,85912    
22             22.dat              -4962155,41    590            419,83         419,83         0              4962155,41     85,43802       13802,85912    
23             23.dat              -4962191,55    590            455,97         455,97         0              4962191,55     233,00149      13802,85912    
24             24.dat              -4962205,86    590            470,29         470,29         0              4962205,86     233,00149      13802,85912    
25             25.dat              -4962215,66    590            480,08         480,08         0              4962215,66     24,93116       13802,85912    
26             26.dat              -4962268,21    590            532,64         532,64         0              4962268,21     120,28955      13802,85912    
27             27.dat              -4962275,69    590            540,12         540,12         0              4962275,69     240,59291      13802,85912    
28             28.dat              -4962074,57    590            339,00         339,00         0              4962074,57     162,09759      13802,85912    
29             29.dat              -4962205,72    590            470,15         470,15         0              4962205,72     100,24820      13802,85912    
30             30.dat              -4962133,79    590            398,22         398,22         0              4962133,79     5,65053        13802,85912    
31             31.dat              -4962136,06    590            400,48         400,48         0              4962136,06     8,47727        13802,85912    
32             32.dat              -4962130,94    590            395,37         395,37         0              4962130,94     5,65053        13802,85912    
33             33.dat              -4962118,90    590            383,33         383,33         0              4962118,90     362,09709      13802,85912    
34             34.dat              -4962260,64    590            525,07         525,07         0              4962260,64     100,24820      13802,85912    
35             35.dat              -4962136,06    590            400,48         400,48         0              4962136,06     79,22686       13802,85912    
36             36.dat              -4962130,05    590            394,48         394,48         0              4962130,05     52,80870       13802,85912    
37             37.dat              -4962150,83    590            415,26         415,26         0              4962150,83     20,51825       13802,85912    
38             38.dat              -4962131,02    590            395,44         395,44         0              4962131,02     5,65053        13802,85912    
39             39.dat              -4962130,52    590            394,95         394,95         0              4962130,52     119,99970      13802,85912    
40             40.dat              -4962126,27    590            390,69         390,69         0              4962126,27     137,32195      13802,85912    
41             41.dat              -4962131,42    590            395,85         395,85         0              4962131,42     126,76297      13802,85912    
42             42.dat              -4962127,75    590            392,18         392,18         0              4962127,75     93,19507       13802,85912    
43             43.dat              -4962142,18    590            406,61         406,61         0              4962142,18     52,80870       13802,85912    
44             44.dat              -4962123,64    590            388,06         590,00         1              4962123,64     135,47240      13802,85912    
45             45.dat              -4962130,47    590            394,90         394,90         0              4962130,47     119,99970      13802,85912    
46             46.dat              -4962269,25    590            533,68         590,00         1              4962269,25     120,28955      13802,85912    
47             47.dat              -4962127,37    590            391,80         391,80         0              4962127,37     95,51391       13802,85912    
48             48.dat              -4962265,79    590            530,22         530,22         0              4962265,79     21,45311       13802,85912    
49             49.dat              -4962129,73    590            394,15         394,15         0              4962129,73     52,80870       13802,85912    
50             50.dat              -4962275,87    590            540,30         540,30         0              4962275,87     200,49639      13802,85912    
51             51.dat              -4962135,55    590            399,97         399,97         0              4962135,55     9,14187        13802,85912    
52             52.dat              -4962131,62    590            396,05         396,05         0              4962131,62     52,80870       13802,85912    
53             53.dat              -4962281,67    590            546,10         546,10         0              4962281,67     90,22752       13802,85912    
54             54.dat              -4962123,64    590            388,06         388,06         0              4962123,64     106,19711      13802,85912    
55             55.dat              -4962126,77    590            391,20         391,20         0              4962126,77     267,59077      13802,85912    
56             56.dat              -4962289,57    590            554,00         590,00         1              4962289,57     221,82139      13802,85912    
57             57.dat              -4962140,77    590            405,19         405,19         0              4962140,77     135,47240      13802,85912    
58             58.dat              -4962123,73    590            388,16         388,16         0              4962123,73     117,74988      13802,85912    
59             59.dat              -4962268,15    590            532,58         532,58         0              4962268,15     120,28955      13802,85912    
60             60.dat              -4962182,69    590            447,12         447,12         0              4962182,69     831,92339      13802,85912    
61             61.dat              -4962136,45    590            400,88         400,88         0              4962136,45     312,51820      13802,85912    
62             62.dat              -4962140,95    590            405,38         405,38         0              4962140,95     89,01580       13802,85912    
63             63.dat              -4962126,37    590            390,80         390,80         0              4962126,37     191,75936      13802,85912    
64             64.dat              -4962163,06    590            427,49         427,49         0              4962163,06     85,43802       13802,85912    
65             65.dat              -4962162,96    590            427,39         427,39         0              4962162,96     85,43802       13802,85912    
66             66.dat              -4962144,28    590            408,71         408,71         0              4962144,28     89,01580       13802,85912    
67             67.dat              -4962125,08    590            389,50         389,50         0              4962125,08     119,99970      13802,85912    
68             68.dat              -4962280,99    590            545,42         545,42         0              4962280,99     93,19507       13802,85912    
69             69.dat              -4962156,83    590            421,26         421,26         0              4962156,83     135,47240      13802,85912    
70             70.dat              -4962117,05    590            381,48         381,48         0              4962117,05     138,30193      13802,85912    
71             71.dat              -4962293,46    590            557,89         557,89         0              4962293,46     247,41139      13802,85912    
72             72.dat              -4962256,03    590            520,46         590,00         1              4962256,03     93,19507       13802,85912    
73             73.dat              -4962195,20    590            459,62         459,62         0              4962195,20     209,70272      13802,85912    
74             74.dat              -4962125,57    590            390,00         390,00         0              4962125,57     95,51391       13802,85912    
75             75.dat              -4962165,92    590            430,35         430,35         0              4962165,92     135,47240      13802,85912    
76             76.dat              -4962115,54    590            379,97         379,97         0              4962115,54     138,30193      13802,85912    
77             77.dat              -4962267,69    590            532,12         532,12         0              4962267,69     100,24820      13802,85912    
78             78.dat              -4962268,20    590            532,63         532,63         0              4962268,20     12,87098       13802,85912    
79             79.dat              -4962270,37    590            534,80         534,80         0              4962270,37     200,49639      13802,85912    
80             80.dat              -4962135,12    590            399,54         399,54         0              4962135,12     209,70272      13802,85912    
81             81.dat              -4962210,69    590            475,12         475,12         0              4962210,69     0,00000        13802,85912    
82             82.dat              -4962282,00    590            546,43         546,43         0              4962282,00     110,90379      13802,85912    
83             83.dat              -4962270,37    590            534,80         590,00         1              4962270,37     200,49639      13802,85912    
84             84.dat              -4962131,16    590            395,59         395,59         0              4962131,16     126,76297      13802,85912    
85             85.dat              -4962140,77    590            405,19         405,19         0              4962140,77     0,00000        13802,85912    
86             86.dat              -4962123,69    590            388,12         388,12         0              4962123,69     0,00000        13802,85912    
87             87.dat              -4962129,79    590            394,22         394,22         0              4962129,79     119,99970      13802,85912    
88             88.dat              -4962268,18    590            532,61         532,61         0              4962268,18     12,87098       13802,85912    
89             89.dat              -4962112,57    590            377,00         377,00         0              4962112,57     138,30193      13802,85912    
90             90.dat              -4962142,26    590            406,69         406,69         0              4962142,26     312,51820      13802,85912    
91             91.dat              -4962126,06    590            390,49         390,49         0              4962126,06     119,99970      13802,85912    
92             92.dat              -4962127,40    590            391,83         391,83         0              4962127,40     95,51391       13802,85912    
93             93.dat              -4962124,36    590            388,79         388,79         0              4962124,36     14,49555       13802,85912    
94             94.dat              -4962117,57    590            382,00         590,00         1              4962117,57     5,65053        13802,85912    
