Summary Result file:# Time: 2023-01-13T17:13:09.128836500

dataSetName    total_load     UP_u           UP_c           LMP_min        LMP_arith_avg  LMP_avg_buyer_cost  LMP_median     LMP_max        LP+_min        LP+_arith_avg  LP+_avg_buyer_cost  LP+_median     LP+_max        bal_cost_c     bal_cost_u     constraints_cost    income_UP      income_LMP     income_LP+     surplus_UP     surplus_LMP    surplus_LP+    sys_profit_UP       sys_profit_LMP      sys_profit_LP+      sup_profit_UP       sup_profit_LMP      sup_profit_LP+      lmp_prof_over_up    lp+_prof_over_up    num_of_comp_nodes   
Sorted by default (by data set name):
1_summer       11365,32       590            590            369,00         420,71         421,98              401,50         557,94         369,00         429,38         432,39              402,12         590,00         3926907,76     3741307,87     185599,90           6705540,72     4795943,72     4914270,60     2964232,85     869035,96      987362,83      0,00                869035,96           458102,34           2964232,85          0,00                529260,50           1909597,00          1791270,13          7                   
2_summer       10553,27       590            590            369,00         403,73         403,84              383,93         534,22         369,00         413,91         417,06              384,00         590,00         3592992,35     3435703,27     157289,07           6226429,47     4261868,27     4401356,16     2790726,19     668875,92      808363,81      0,00                668875,92           316919,01           2790726,19          0,00                491444,80           1964561,19          1825073,31          7                   
3_summer       10455,52       590            590            369,00         403,73         403,84              383,93         534,22         369,00         413,91         417,06              384,00         590,00         3553515,96     3398957,38     154558,58           6168755,94     4222391,88     4360587,73     2769798,56     668875,92      807071,78      0,00                668875,92           320179,08           2769798,56          0,00                486892,70           1946364,06          1808168,21          7                   
4_summer       10601,26       590            590            369,00         403,73         403,84              383,93         534,22         369,00         413,91         417,06              384,00         590,00         3612372,01     3453506,84     158865,16           6254742,42     4281247,93     4421370,10     2801235,58     668875,92      808998,09      0,00                668875,92           315318,59           2801235,58          0,00                493679,50           1973494,49          1833372,32          7                   
5_summer       10581,87       590            590            369,00         403,73         403,84              383,93         534,22         369,00         413,91         417,06              384,00         590,00         3604542,52     3446314,10     158228,42           6243303,83     4273418,44     4413284,35     2796989,72     668875,92      808741,84      0,00                668875,92           315965,16           2796989,72          0,00                492776,67           1969885,38          1830019,47          7                   
6_summer       10910,94       590            590            369,00         409,34         409,58              383,93         565,59         369,00         418,93         421,96              384,00         590,00         3737659,42     3569870,15     167789,26           6437454,25     4468879,03     4604005,55     2867584,09     731219,61      866346,13      0,00                731219,61           358245,39           2867584,09          0,00                508100,74           1968575,22          1833448,70          7                   
7_summer       12626,86       590            590            333,97         427,37         430,59              402,72         611,81         333,97         435,17         439,60              403,17         611,81         4443401,25     4219701,18     223700,07           7449847,99     5437030,97     5550787,62     3230146,81     993629,71      1107386,37     0,00                993629,71           519378,57           3230146,81          0,00                588007,80           2012817,02          1899060,37          7                   
8_summer_p     13802,86       590            590            339,00         442,59         445,60              400,88         706,86         339,00         449,51         454,14              404,84         706,86         4961735,57     4670882,76     290852,81           8143686,88     6150490,01     6268460,46     3472804,12     1188754,44     1306724,89     0,00                1188754,44          663953,21           3472804,12          0,00                642771,68           1993196,87          1875226,42          7                   
9_summer       13465,71       590            590            329,66         431,99         435,75              403,56         635,54         329,66         439,38         444,15              404,69         635,54         4813034,85     4541152,37     271882,48           7944771,56     5867627,99     5980776,64     3403619,19     1054593,14     1167741,79     0,00                1054593,14          540670,25           3403619,19          0,00                627071,54           2077143,57          1963994,92          7                   
10_summer      11867,31       590            590            327,05         442,50         437,91              392,49         756,60         327,05         449,16         446,78              392,67         751,41         4113591,21     3931311,49     182279,72           7001711,82     5196821,17     5302116,70     3070400,33     1083229,96     1188525,48     0,00                1083229,96          635888,56           3070400,33          0,00                552636,93           1804890,65          1699595,12          7                   
