# Result file for 15_summer_d:
# Time: 2023-01-14T23:52:11.850587500

node_nr        result_name         objective      UP             LMP            LP+            is_competitive total_bal_cost node_load      total_load     
0              balanced.dat        -3356436,20    590            nu             nu             0              3356436,20     null           null           
0              unconstrained.dat   -3223384,25    590            nu             nu             0              3223384,25     null           null           
1              1.dat               -3356817,40    590            381,19         590,00         0              3356817,40     76,79458       9981,29607     
2              2.dat               -3356808,40    590            372,20         590,00         0              3356808,40     67,39239       9981,29607     
3              3.dat               -3356813,24    590            377,03         590,00         0              3356813,24     57,29151       9981,29607     
4              4.dat               -3356817,61    590            381,40         590,00         0              3356817,61     14,83741       9981,29607     
5              5.dat               -3356805,20    590            369,00         590,00         0              3356805,20     178,91122      9981,29607     
6              6.dat               -3356817,44    590            381,23         590,00         0              3356817,44     69,06921       9981,29607     
7              7.dat               -3356818,81    590            382,61         590,00         0              3356818,81     225,99207      9981,29607     
8              8.dat               -3356829,72    590            393,52         590,00         0              3356829,72     14,83741       9981,29607     
9              9.dat               -3356907,30    590            471,10         590,00         0              3356907,30     138,66742      9981,29607     
10             10.dat              -3356818,67    590            382,47         590,00         0              3356818,67     91,66642       9981,29607     
11             11.dat              -3356818,67    590            382,47         590,00         0              3356818,67     38,18769       9981,29607     
12             12.dat              -3356862,35    590            426,14         590,00         0              3356862,35     72,49273       9981,29607     
13             13.dat              -3356817,44    590            381,23         590,00         0              3356817,44     69,06921       9981,29607     
14             14.dat              -3356817,40    590            381,19         590,00         0              3356817,40     76,79458       9981,29607     
15             15.dat              -3356901,61    590            465,41         590,00         0              3356901,61     80,19814       9981,29607     
16             16.dat              -3356893,92    590            457,71         590,00         0              3356893,92     80,19814       9981,29607     
17             17.dat              -3356869,55    590            433,35         590,00         0              3356869,55     144,98546      9981,29607     
18             18.dat              -3356819,36    590            383,16         590,00         0              3356819,36     9,80831        9981,29607     
19             19.dat              -3356932,95    590            496,75         590,00         0              3356932,95     117,21804      9981,29607     
20             20.dat              -3356869,97    590            433,77         590,00         0              3356869,97     58,96834       9981,29607     
21             21.dat              -3356820,18    590            383,98         590,00         0              3356820,18     6,61078        9981,29607     
22             22.dat              -3356823,39    590            387,18         590,00         0              3356823,39     61,78301       9981,29607     
23             23.dat              -3356835,80    590            399,60         590,00         0              3356835,80     168,49095      9981,29607     
24             24.dat              -3356841,64    590            405,44         590,00         0              3356841,64     168,49095      9981,29607     
25             25.dat              -3356845,21    590            409,01         590,00         0              3356845,21     18,02853       9981,29607     
26             26.dat              -3356870,97    590            434,77         590,00         0              3356870,97     86,98529       9981,29607     
27             27.dat              -3356878,42    590            442,22         590,00         0              3356878,42     173,98055      9981,29607     
28             28.dat              -3356844,05    590            407,85         590,00         0              3356844,05     117,21804      9981,29607     
29             29.dat              -3356840,00    590            403,80         590,00         0              3356840,00     72,49273       9981,29607     
30             30.dat              -3356823,58    590            387,38         590,00         0              3356823,58     4,08608        9981,29607     
31             31.dat              -3356813,24    590            377,03         590,00         0              3356813,24     6,13019        9981,29607     
32             32.dat              -3356818,74    590            382,53         590,00         0              3356818,74     4,08608        9981,29607     
33             33.dat              -3356807,12    590            370,92         590,00         0              3356807,12     261,84418      9981,29607     
34             34.dat              -3356857,94    590            421,74         590,00         0              3356857,94     72,49273       9981,29607     
35             35.dat              -3356813,24    590            377,03         590,00         0              3356813,24     57,29151       9981,29607     
36             36.dat              -3356820,71    590            384,51         590,00         0              3356820,71     38,18769       9981,29607     
37             37.dat              -3356841,63    590            405,42         590,00         0              3356841,63     14,83741       9981,29607     
38             38.dat              -3356818,52    590            382,31         590,00         0              3356818,52     4,08608        9981,29607     
39             39.dat              -3356815,12    590            378,91         590,00         0              3356815,12     86,77568       9981,29607     
40             40.dat              -3356817,61    590            381,40         590,00         0              3356817,61     99,30196       9981,29607     
41             41.dat              -3356819,43    590            383,22         590,00         0              3356819,43     91,66642       9981,29607     
42             42.dat              -3356809,90    590            373,70         590,00         0              3356809,90     67,39239       9981,29607     
43             43.dat              -3356838,32    590            402,11         590,00         0              3356838,32     38,18769       9981,29607     
44             44.dat              -3356817,41    590            381,21         381,21         1              3356817,41     97,96450       9981,29607     
45             45.dat              -3356815,14    590            378,94         590,00         0              3356815,14     86,77568       9981,29607     
46             46.dat              -3356871,50    590            435,29         435,29         1              3356871,50     86,98529       9981,29607     
47             47.dat              -3356817,80    590            381,59         590,00         0              3356817,80     69,06921       9981,29607     
48             48.dat              -3356858,22    590            422,01         590,00         0              3356858,22     15,51344       9981,29607     
49             49.dat              -3356820,24    590            384,04         590,00         0              3356820,24     38,18769       9981,29607     
50             50.dat              -3356876,79    590            440,58         590,00         0              3356876,79     144,98546      9981,29607     
51             51.dat              -3356819,64    590            383,44         590,00         0              3356819,64     6,61078        9981,29607     
52             52.dat              -3356814,60    590            378,40         590,00         0              3356814,60     38,18769       9981,29607     
53             53.dat              -3356884,85    590            448,65         590,00         0              3356884,85     65,24645       9981,29607     
54             54.dat              -3356817,41    590            381,21         590,00         0              3356817,41     76,79458       9981,29607     
55             55.dat              -3356817,94    590            381,73         590,00         0              3356817,94     193,50359      9981,29607     
56             56.dat              -3356894,20    590            458,00         458,00         1              3356894,20     160,40626      9981,29607     
57             57.dat              -3356817,35    590            381,14         590,00         0              3356817,35     97,96450       9981,29607     
58             58.dat              -3356817,40    590            381,19         590,00         0              3356817,40     85,14876       9981,29607     
59             59.dat              -3356870,94    590            434,74         590,00         0              3356870,94     86,98529       9981,29607     
60             60.dat              -3356818,10    590            381,89         590,00         0              3356818,10     601,59084      9981,29607     
61             61.dat              -3356828,19    590            391,99         590,00         0              3356828,19     225,99207      9981,29607     
62             62.dat              -3356817,21    590            381,00         590,00         0              3356817,21     64,37022       9981,29607     
63             63.dat              -3356817,91    590            381,70         590,00         0              3356817,91     138,66742      9981,29607     
64             64.dat              -3356825,77    590            389,56         590,00         0              3356825,77     61,78301       9981,29607     
65             65.dat              -3356825,71    590            389,50         590,00         0              3356825,71     61,78301       9981,29607     
66             66.dat              -3356814,67    590            378,47         590,00         0              3356814,67     64,37022       9981,29607     
67             67.dat              -3356817,43    590            381,23         590,00         0              3356817,43     86,77568       9981,29607     
68             68.dat              -3356855,75    590            419,54         590,00         0              3356855,75     67,39239       9981,29607     
69             69.dat              -3356823,66    590            387,45         590,00         0              3356823,66     97,96450       9981,29607     
70             70.dat              -3356806,57    590            370,36         590,00         0              3356806,57     100,01062      9981,29607     
71             71.dat              -3356894,32    590            458,11         590,00         0              3356894,32     178,91122      9981,29607     
72             72.dat              -3356855,30    590            419,10         419,10         1              3356855,30     67,39239       9981,29607     
73             73.dat              -3356828,38    590            392,17         590,00         0              3356828,38     151,64285      9981,29607     
74             74.dat              -3356817,44    590            381,23         590,00         0              3356817,44     69,06921       9981,29607     
75             75.dat              -3356818,00    590            381,80         590,00         0              3356818,00     97,96450       9981,29607     
76             76.dat              -3356806,10    590            369,90         590,00         0              3356806,10     100,01062      9981,29607     
77             77.dat              -3356866,75    590            430,55         590,00         0              3356866,75     72,49273       9981,29607     
78             78.dat              -3356870,97    590            434,77         590,00         0              3356870,97     9,30743        9981,29607     
79             79.dat              -3356869,80    590            433,59         590,00         0              3356869,80     144,98546      9981,29607     
80             80.dat              -3356812,39    590            376,19         590,00         0              3356812,39     151,64285      9981,29607     
81             81.dat              -3356842,61    590            406,40         590,00         0              3356842,61     0,00000        9981,29607     
82             82.dat              -3356884,58    590            448,37         590,00         0              3356884,58     80,19814       9981,29607     
83             83.dat              -3356869,80    590            433,59         433,59         1              3356869,80     144,98546      9981,29607     
84             84.dat              -3356818,97    590            382,76         590,00         0              3356818,97     91,66642       9981,29607     
85             85.dat              -3356817,35    590            381,14         590,00         0              3356817,35     0,00000        9981,29607     
86             86.dat              -3356817,40    590            381,19         590,00         0              3356817,40     0,00000        9981,29607     
87             87.dat              -3356815,46    590            379,26         590,00         0              3356815,46     86,77568       9981,29607     
88             88.dat              -3356870,96    590            434,75         590,00         0              3356870,96     9,30743        9981,29607     
89             89.dat              -3356805,20    590            369,00         590,00         0              3356805,20     100,01062      9981,29607     
90             90.dat              -3356838,46    590            402,26         590,00         0              3356838,46     225,99207      9981,29607     
91             91.dat              -3356816,60    590            380,40         590,00         0              3356816,60     86,77568       9981,29607     
