# Result file for 6_summer:
# Time: 2023-01-14T23:52:12.088544900

node_nr        result_name         objective      UP             LMP            LP+            is_competitive total_bal_cost node_load      total_load     
0              balanced.dat        -3737659,42    590            nu             nu             0              3737659,42     null           null           
0              unconstrained.dat   -3569870,15    590            nu             nu             0              3569870,15     null           null           
1              1.dat               -3738043,13    590            383,71         590,00         0              3738043,13     83,94712       10910,93940    
2              2.dat               -3738032,52    590            373,11         590,00         0              3738032,52     73,66922       10910,93940    
3              3.dat               -3738040,71    590            381,30         590,00         0              3738040,71     62,62756       10910,93940    
4              4.dat               -3738041,02    590            381,60         590,00         0              3738041,02     16,21935       10910,93940    
5              5.dat               -3738028,42    590            369,00         590,00         0              3738028,42     195,57475      10910,93940    
6              6.dat               -3738041,81    590            382,40         590,00         0              3738041,81     75,50222       10910,93940    
7              7.dat               -3738038,39    590            378,98         590,00         0              3738038,39     247,04064      10910,93940    
8              8.dat               -3738040,77    590            381,36         590,00         0              3738040,77     16,21935       10910,93940    
9              9.dat               -3738140,05    590            480,64         590,00         0              3738140,05     151,58270      10910,93940    
10             10.dat              -3738038,35    590            378,94         590,00         0              3738038,35     100,20410      10910,93940    
11             11.dat              -3738038,35    590            378,94         590,00         0              3738038,35     41,74443       10910,93940    
12             12.dat              -3738119,09    590            459,68         590,00         0              3738119,09     79,24460       10910,93940    
13             13.dat              -3738041,81    590            382,40         590,00         0              3738041,81     75,50222       10910,93940    
14             14.dat              -3738043,13    590            383,71         590,00         0              3738043,13     83,94712       10910,93940    
15             15.dat              -3738138,70    590            479,28         590,00         0              3738138,70     87,66768       10910,93940    
16             16.dat              -3738138,09    590            478,67         590,00         0              3738138,09     87,66768       10910,93940    
17             17.dat              -3738123,34    590            463,92         590,00         0              3738123,34     158,48919      10910,93940    
18             18.dat              -3738038,54    590            379,13         590,00         0              3738038,54     10,72184       10910,93940    
19             19.dat              -3738150,39    590            490,98         590,00         0              3738150,39     128,13555      10910,93940    
20             20.dat              -3738120,98    590            461,57         590,00         0              3738120,98     64,46056       10910,93940    
