Summary Result file:# Time: 2023-01-14T23:52:12.272679200

dataSetName    total_load     UP_u           UP_c           LMP_min        LMP_arith_avg  LMP_avg_buyer_cost  LMP_median     LMP_max        LP+_min        LP+_arith_avg  LP+_avg_buyer_cost  LP+_median     LP+_max        bal_cost_c     bal_cost_u     constraints_cost    income_UP      income_LMP     income_LP+     surplus_UP     surplus_LMP    surplus_LP+    sys_profit_UP       sys_profit_LMP      sys_profit_LP+      sup_profit_UP       sup_profit_LMP      sup_profit_LP+      lmp_prof_over_up    lp+_prof_over_up    num_of_comp_nodes   
Sorted by default (by data set name):
1_summer       11365,32       590            590            369,00         420,71         421,98              401,50         557,94         385,58         581,33         579,59              590,00         590,00         3926907,76     3741307,87     185599,90           6705540,72     4795943,72     6587213,85     2778632,96     869035,96      2660306,09     0,00                869035,96           2131045,59          2964232,85          0,00                529260,50           1909597,00          118326,87           7                   
2_summer       10553,27       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3592992,35     3435703,27     157289,07           6226429,47     4261868,27     6086941,58     2633437,12     668875,92      2493949,23     0,00                668875,92           2002504,44          2790726,19          0,00                491444,80           1964561,19          139487,88           7                   
3_summer       10455,52       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3553515,96     3398957,38     154558,58           6168755,94     4222391,88     6030560,09     2615239,98     668875,92      2477044,13     0,00                668875,92           1990151,43          2769798,56          0,00                486892,70           1946364,06          138195,85           7                   
4_summer       10601,26       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3612372,01     3453506,84     158865,16           6254742,42     4281247,93     6114620,25     2642370,41     668875,92      2502248,25     0,00                668875,92           2008568,74          2801235,58          0,00                493679,50           1973494,49          140122,17           7                   
5_summer       10581,87       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3604542,52     3446314,10     158228,42           6243303,83     4273418,44     6103437,91     2638761,31     668875,92      2498895,39     0,00                668875,92           2006118,72          2796989,72          0,00                492776,67           1969885,38          139865,91           7                   
6_summer       10910,94       590            590            369,00         409,34         409,58              383,93         565,59         379,19         580,41         577,62              590,00         590,00         3737659,42     3569870,15     167789,26           6437454,25     4468879,03     6302327,73     2699794,83     731219,61      2564668,31     0,00                731219,61           2056567,57          2867584,09          0,00                508100,74           1968575,22          135126,52           7                   
7_summer       12626,86       590            590            333,97         427,37         430,59              402,72         611,81         382,00         582,19         580,99              590,00         590,00         4443401,25     4219701,18     223700,07           7449847,99     5437030,97     7336091,34     3006446,74     993629,71      2892690,08     0,00                993629,71           2304682,28          3230146,81          0,00                588007,80           2012817,02          113756,65           7                   
8_summer_p     13802,86       590            590            339,00         442,59         445,60              400,88         706,86         382,00         583,08         581,45              590,00         590,00         4961735,57     4670882,76     290852,81           8143686,88     6150490,01     8025716,43     3181951,31     1188754,44     3063980,86     0,00                1188754,44          2421209,18          3472804,12          0,00                642771,68           1993196,87          117970,45           7                   
9_summer       13465,71       590            590            329,66         431,99         435,75              403,56         635,54         382,00         582,62         581,60              590,00         590,00         4813034,85     4541152,37     271882,48           7944771,56     5867627,99     7831622,90     3131736,71     1054593,14     3018588,06     0,00                1054593,14          2391516,52          3403619,19          0,00                627071,54           2077143,57          113148,65           7                   
10_summer      11867,31       590            590            327,05         442,50         437,91              392,49         756,60         382,00         583,34         581,13              590,00         756,60         4113591,21     3931311,49     182279,72           7001711,82     5196821,17     6896416,29     2888120,61     1083229,96     2782825,08     0,00                1083229,96          2230188,15          3070400,33          0,00                552636,93           1804890,65          105295,53           7                   
11_summer      10657,28       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3634997,76     3474462,22     160535,54           6287797,79     4303873,68     6146935,10     2652800,03     668875,92      2511937,34     0,00                668875,92           2015648,82          2813335,58          0,00                496288,52           1983924,11          140862,69           7                   
12_summer      10456,31       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3553833,73     3399249,31     154584,42           6169220,20     4222709,66     6031013,94     2615386,46     668875,92      2477180,21     0,00                668875,92           1990250,87          2769970,89          0,00                486929,34           1946510,54          138206,25           7                   
13_summer      10618,15       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3619192,19     3459772,36     159419,83           6264706,45     4288068,11     6124361,06     2645514,26     668875,92      2505168,87     0,00                668875,92           2010702,91          2804934,09          0,00                494465,96           1976638,33          140345,39           7                   
14_summer      10283,21       590            590            337,89         421,25         426,45              412,48         621,11         379,00         581,88         581,76              590,00         621,11         3483815,39     3335032,76     148782,63           6067096,84     4385317,70     5982401,15     2583281,45     901502,32      2498585,77     0,00                901502,32           2019716,90          2732064,08          0,00                478868,86           1681779,14          84695,69            7                   
15_summer_d    9981,30        590            590            349,44         399,91         401,03              383,16         496,75         381,21         579,59         576,74              590,00         590,00         3356436,20     3223384,25     133051,95           5888964,68     4002820,82     5756573,51     2532528,48     646384,62      2400137,30     0,00                646384,62           1935328,19          2665580,43          0,00                464809,11           1886143,86          132391,18           7                   
16_summer      9997,63        590            590            354,53         413,07         415,96              407,49         530,57         384,67         580,97         579,71              590,00         590,00         3363075,08     3229413,07     133662,00           5898604,26     4158566,58     5795722,63     2535529,19     795491,51      2432647,55     0,00                795491,51           1967077,62          2669191,19          0,00                465569,94           1740037,68          102881,63           7                   
17_summer      10161,15       590            590            337,89         421,25         426,45              412,48         621,11         379,00         581,88         581,76              590,00         621,11         3431890,09     3289750,17     142139,92           5995078,21     4333262,40     5911387,89     2563188,12     901372,32      2479497,81     0,00                901372,32           2006313,29          2705328,04          0,00                473184,52           1661815,81          83690,32            7                   
18_summer      10644,26       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3629737,62     3469551,71     160185,90           6280112,92     4298613,54     6139422,39     2650375,30     668875,92      2509684,77     0,00                668875,92           2014002,80          2810561,21          0,00                495681,97           1981499,38          140690,53           7                   
19_summer      11467,14       590            590            369,00         418,51         421,04              399,48         552,90         380,00         581,18         579,43              590,00         590,00         3969822,83     3779712,30     190110,53           6765611,63     4828079,20     6644435,44     2795788,80     858256,38      2674612,61     0,00                858256,38           2140610,79          2985899,33          0,00                534001,82           1937532,42          121176,19           7                   
20_summer      12650,32       590            590            333,97         427,37         430,59              402,72         611,81         382,00         582,19         580,99              590,00         590,00         4453504,02     4228616,93     224887,09           7463690,86     5447133,73     7349722,83     3010186,84     993629,71      2896218,81     0,00                993629,71           2307118,41          3235073,93          0,00                589100,40           2016557,13          113968,03           7                   
21_summer      13482,00       590            590            339,00         435,82         440,32              408,71         631,79         382,00         582,70         581,69              590,00         590,00         4820170,52     4547407,08     272763,45           7954381,66     5936410,22     7842344,90     3134211,13     1116239,69     3022174,37     0,00                1116239,69          2394344,32          3406974,58          0,00                627830,05           2017971,44          112036,76           7                   
22_summer      13300,95       590            590            339,00         439,72         445,48              422,21         633,29         380,00         583,43         583,72              590,00         590,00         4739744,24     4477667,52     262076,72           7847560,06     5925276,67     7764070,47     3107815,82     1185532,43     3024326,23     0,00                1185532,43          2404927,48          3369892,55          0,00                619398,75           1922283,40          83489,59            7                   
23_summer      11865,47       590            590            327,05         443,68         438,88              392,49         775,29         382,00         583,50         581,29              590,00         775,29         4112783,67     3930617,08     182166,59           7000627,95     5207539,00     6897281,68     2887844,28     1094755,33     2784498,01     0,00                1094755,33          2231946,63          3070010,88          0,00                552551,38           1793088,96          103346,27           7                   
24_summer      10821,23       590            590            368,13         410,07         411,28              396,13         505,32         385,14         580,49         578,31              590,00         590,00         3701359,72     3536075,84     165283,88           6384523,12     4450528,17     6257977,83     2683163,40     749168,45      2556618,11     0,00                749168,45           2052695,16          2848447,28          0,00                503922,95           1933994,95          126545,29           7                   
End of summary sorted by total load


Sorted by total load:
15_summer_d    9981,30        590            590            349,44         399,91         401,03              383,16         496,75         381,21         579,59         576,74              590,00         590,00         3356436,20     3223384,25     133051,95           5888964,68     4002820,82     5756573,51     2532528,48     646384,62      2400137,30     0,00                646384,62           1935328,19          2665580,43          0,00                464809,11           1886143,86          132391,18           7                   
16_summer      9997,63        590            590            354,53         413,07         415,96              407,49         530,57         384,67         580,97         579,71              590,00         590,00         3363075,08     3229413,07     133662,00           5898604,26     4158566,58     5795722,63     2535529,19     795491,51      2432647,55     0,00                795491,51           1967077,62          2669191,19          0,00                465569,94           1740037,68          102881,63           7                   
17_summer      10161,15       590            590            337,89         421,25         426,45              412,48         621,11         379,00         581,88         581,76              590,00         621,11         3431890,09     3289750,17     142139,92           5995078,21     4333262,40     5911387,89     2563188,12     901372,32      2479497,81     0,00                901372,32           2006313,29          2705328,04          0,00                473184,52           1661815,81          83690,32            7                   
14_summer      10283,21       590            590            337,89         421,25         426,45              412,48         621,11         379,00         581,88         581,76              590,00         621,11         3483815,39     3335032,76     148782,63           6067096,84     4385317,70     5982401,15     2583281,45     901502,32      2498585,77     0,00                901502,32           2019716,90          2732064,08          0,00                478868,86           1681779,14          84695,69            7                   
3_summer       10455,52       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3553515,96     3398957,38     154558,58           6168755,94     4222391,88     6030560,09     2615239,98     668875,92      2477044,13     0,00                668875,92           1990151,43          2769798,56          0,00                486892,70           1946364,06          138195,85           7                   
12_summer      10456,31       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3553833,73     3399249,31     154584,42           6169220,20     4222709,66     6031013,94     2615386,46     668875,92      2477180,21     0,00                668875,92           1990250,87          2769970,89          0,00                486929,34           1946510,54          138206,25           7                   
2_summer       10553,27       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3592992,35     3435703,27     157289,07           6226429,47     4261868,27     6086941,58     2633437,12     668875,92      2493949,23     0,00                668875,92           2002504,44          2790726,19          0,00                491444,80           1964561,19          139487,88           7                   
5_summer       10581,87       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3604542,52     3446314,10     158228,42           6243303,83     4273418,44     6103437,91     2638761,31     668875,92      2498895,39     0,00                668875,92           2006118,72          2796989,72          0,00                492776,67           1969885,38          139865,91           7                   
4_summer       10601,26       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3612372,01     3453506,84     158865,16           6254742,42     4281247,93     6114620,25     2642370,41     668875,92      2502248,25     0,00                668875,92           2008568,74          2801235,58          0,00                493679,50           1973494,49          140122,17           7                   
13_summer      10618,15       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3619192,19     3459772,36     159419,83           6264706,45     4288068,11     6124361,06     2645514,26     668875,92      2505168,87     0,00                668875,92           2010702,91          2804934,09          0,00                494465,96           1976638,33          140345,39           7                   
18_summer      10644,26       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3629737,62     3469551,71     160185,90           6280112,92     4298613,54     6139422,39     2650375,30     668875,92      2509684,77     0,00                668875,92           2014002,80          2810561,21          0,00                495681,97           1981499,38          140690,53           7                   
11_summer      10657,28       590            590            369,00         403,73         403,84              383,93         534,22         379,19         579,82         576,78              590,00         590,00         3634997,76     3474462,22     160535,54           6287797,79     4303873,68     6146935,10     2652800,03     668875,92      2511937,34     0,00                668875,92           2015648,82          2813335,58          0,00                496288,52           1983924,11          140862,69           7                   
24_summer      10821,23       590            590            368,13         410,07         411,28              396,13         505,32         385,14         580,49         578,31              590,00         590,00         3701359,72     3536075,84     165283,88           6384523,12     4450528,17     6257977,83     2683163,40     749168,45      2556618,11     0,00                749168,45           2052695,16          2848447,28          0,00                503922,95           1933994,95          126545,29           7                   
6_summer       10910,94       590            590            369,00         409,34         409,58              383,93         565,59         379,19         580,41         577,62              590,00         590,00         3737659,42     3569870,15     167789,26           6437454,25     4468879,03     6302327,73     2699794,83     731219,61      2564668,31     0,00                731219,61           2056567,57          2867584,09          0,00                508100,74           1968575,22          135126,52           7                   
1_summer       11365,32       590            590            369,00         420,71         421,98              401,50         557,94         385,58         581,33         579,59              590,00         590,00         3926907,76     3741307,87     185599,90           6705540,72     4795943,72     6587213,85     2778632,96     869035,96      2660306,09     0,00                869035,96           2131045,59          2964232,85          0,00                529260,50           1909597,00          118326,87           7                   
19_summer      11467,14       590            590            369,00         418,51         421,04              399,48         552,90         380,00         581,18         579,43              590,00         590,00         3969822,83     3779712,30     190110,53           6765611,63     4828079,20     6644435,44     2795788,80     858256,38      2674612,61     0,00                858256,38           2140610,79          2985899,33          0,00                534001,82           1937532,42          121176,19           7                   
23_summer      11865,47       590            590            327,05         443,68         438,88              392,49         775,29         382,00         583,50         581,29              590,00         775,29         4112783,67     3930617,08     182166,59           7000627,95     5207539,00     6897281,68     2887844,28     1094755,33     2784498,01     0,00                1094755,33          2231946,63          3070010,88          0,00                552551,38           1793088,96          103346,27           7                   
10_summer      11867,31       590            590            327,05         442,50         437,91              392,49         756,60         382,00         583,34         581,13              590,00         756,60         4113591,21     3931311,49     182279,72           7001711,82     5196821,17     6896416,29     2888120,61     1083229,96     2782825,08     0,00                1083229,96          2230188,15          3070400,33          0,00                552636,93           1804890,65          105295,53           7                   
7_summer       12626,86       590            590            333,97         427,37         430,59              402,72         611,81         382,00         582,19         580,99              590,00         590,00         4443401,25     4219701,18     223700,07           7449847,99     5437030,97     7336091,34     3006446,74     993629,71      2892690,08     0,00                993629,71           2304682,28          3230146,81          0,00                588007,80           2012817,02          113756,65           7                   
20_summer      12650,32       590            590            333,97         427,37         430,59              402,72         611,81         382,00         582,19         580,99              590,00         590,00         4453504,02     4228616,93     224887,09           7463690,86     5447133,73     7349722,83     3010186,84     993629,71      2896218,81     0,00                993629,71           2307118,41          3235073,93          0,00                589100,40           2016557,13          113968,03           7                   
22_summer      13300,95       590            590            339,00         439,72         445,48              422,21         633,29         380,00         583,43         583,72              590,00         590,00         4739744,24     4477667,52     262076,72           7847560,06     5925276,67     7764070,47     3107815,82     1185532,43     3024326,23     0,00                1185532,43          2404927,48          3369892,55          0,00                619398,75           1922283,40          83489,59            7                   
9_summer       13465,71       590            590            329,66         431,99         435,75              403,56         635,54         382,00         582,62         581,60              590,00         590,00         4813034,85     4541152,37     271882,48           7944771,56     5867627,99     7831622,90     3131736,71     1054593,14     3018588,06     0,00                1054593,14          2391516,52          3403619,19          0,00                627071,54           2077143,57          113148,65           7                   
21_summer      13482,00       590            590            339,00         435,82         440,32              408,71         631,79         382,00         582,70         581,69              590,00         590,00         4820170,52     4547407,08     272763,45           7954381,66     5936410,22     7842344,90     3134211,13     1116239,69     3022174,37     0,00                1116239,69          2394344,32          3406974,58          0,00                627830,05           2017971,44          112036,76           7                   
8_summer_p     13802,86       590            590            339,00         442,59         445,60              400,88         706,86         382,00         583,08         581,45              590,00         590,00         4961735,57     4670882,76     290852,81           8143686,88     6150490,01     8025716,43     3181951,31     1188754,44     3063980,86     0,00                1188754,44          2421209,18          3472804,12          0,00                642771,68           1993196,87          117970,45           7                   
End of summary sorted by total load

# End of summary results file ---
