# Result file for 20_summer:
# Time: 2023-01-14T22:46:14.352002

node_nr        result_name         objective      UP             LMP            LP+            is_competitive total_bal_cost node_load      total_load     
0              balanced.dat        -4453504,02    590            nu             nu             0              4453504,02     null           null           
0              unconstrained.dat   -4228616,93    590            nu             nu             0              4228616,93     null           null           
1              1.dat               -4453889,10    590            385,08         385,08         0              4453889,10     97,32968       12650,32349    
2              2.dat               -4453880,22    590            376,20         376,20         0              4453880,22     85,41331       12650,32349    
3              3.dat               -4453883,95    590            379,93         379,93         0              4453883,95     72,61143       12650,32349    
4              4.dat               -4453894,78    590            390,76         390,76         0              4453894,78     18,80498       12650,32349    
5              5.dat               -4453873,02    590            369,00         369,00         0              4453873,02     226,75259      12650,32349    
6              6.dat               -4453892,45    590            388,43         388,43         0              4453892,45     87,53852       12650,32349    
7              7.dat               -4453906,77    590            402,76         402,76         0              4453906,77     286,42300      12650,32349    
8              8.dat               -4453936,43    590            432,41         432,41         0              4453936,43     18,80498       12650,32349    
9              9.dat               -4454064,55    590            560,53         560,53         0              4454064,55     175,74749      12650,32349    
10             10.dat              -4453906,39    590            402,37         402,37         0              4453906,39     116,17829      12650,32349    
11             11.dat              -4453906,39    590            402,37         402,37         0              4453906,39     48,39919       12650,32349    
12             12.dat              -4453982,67    590            478,65         478,65         0              4453982,67     91,87749       12650,32349    
13             13.dat              -4453892,45    590            388,43         388,43         0              4453892,45     87,53852       12650,32349    
14             14.dat              -4453889,10    590            385,08         385,08         0              4453889,10     97,32968       12650,32349    
15             15.dat              -4454054,55    590            550,53         550,53         0              4454054,55     101,64335      12650,32349    
16             16.dat              -4454041,37    590            537,35         537,35         0              4454041,37     101,64335      12650,32349    
17             17.dat              -4453995,94    590            491,92         491,92         0              4453995,94     183,75499      12650,32349    
18             18.dat              -4453908,27    590            404,25         404,25         0              4453908,27     12,43108       12650,32349    
19             19.dat              -4454115,83    590            611,81         611,81         0              4454115,83     148,56248      12650,32349    
20             20.dat              -4453996,59    590            492,57         492,57         0              4453996,59     74,73664       12650,32349    
21             21.dat              -4453897,26    590            393,24         393,24         0              4453897,26     8,37852        12650,32349    
22             22.dat              -4453906,74    590            402,72         402,72         0              4453906,74     78,30396       12650,32349    
23             23.dat              -4453931,68    590            427,67         427,67         0              4453931,68     213,54592      12650,32349    
24             24.dat              -4453942,98    590            438,96         438,96         0              4453942,98     213,54592      12650,32349    
25             25.dat              -4453950,03    590            446,01         446,01         0              4453950,03     22,84941       12650,32349    
26             26.dat              -4453998,48    590            494,46         494,46         0              4453998,48     110,24540      12650,32349    
27             27.dat              -4454012,30    590            508,28         508,28         0              4454012,30     220,50346      12650,32349    
28             28.dat              -4453843,02    590            339,00         339,00         0              4453843,02     148,56248      12650,32349    
29             29.dat              -4453940,35    590            436,33         436,33         0              4453940,35     91,87749       12650,32349    
30             30.dat              -4453919,70    590            415,68         415,68         0              4453919,70     5,17871        12650,32349    
31             31.dat              -4453883,95    590            379,93         379,93         0              4453883,95     7,76942        12650,32349    
32             32.dat              -4453906,58    590            402,56         402,56         0              4453906,58     5,17871        12650,32349    
33             33.dat              -4453877,42    590            373,40         373,40         0              4453877,42     331,86207      12650,32349    
34             34.dat              -4453974,56    590            470,54         470,54         0              4453974,56     91,87749       12650,32349    
35             35.dat              -4453883,95    590            379,93         379,93         0              4453883,95     72,61143       12650,32349    
36             36.dat              -4453912,11    590            408,09         408,09         0              4453912,11     48,39919       12650,32349    
37             37.dat              -4453970,35    590            466,33         466,33         0              4453970,35     18,80498       12650,32349    
38             38.dat              -4453905,59    590            401,57         401,57         0              4453905,59     5,17871        12650,32349    
39             39.dat              -4453886,48    590            382,46         382,46         0              4453886,48     109,97975      12650,32349    
40             40.dat              -4453894,78    590            390,76         390,76         0              4453894,78     125,85560      12650,32349    
41             41.dat              -4453908,43    590            404,41         404,41         0              4453908,43     116,17829      12650,32349    
42             42.dat              -4453883,54    590            379,52         379,52         0              4453883,54     85,41331       12650,32349    
43             43.dat              -4453959,64    590            455,62         455,62         0              4453959,64     48,39919       12650,32349    
44             44.dat              -4453889,02    590            385,00         590,00         1              4453889,02     124,16049      12650,32349    
45             45.dat              -4453886,54    590            382,52         382,52         0              4453886,54     109,97975      12650,32349    
46             46.dat              -4453999,46    590            495,44         590,00         1              4453999,46     110,24540      12650,32349    
47             47.dat              -4453897,79    590            393,77         393,77         0              4453897,79     87,53852       12650,32349    
48             48.dat              -4453974,94    590            470,92         470,92         0              4453974,94     19,66178       12650,32349    
49             49.dat              -4453910,84    590            406,82         406,82         0              4453910,84     48,39919       12650,32349    
50             50.dat              -4454009,31    590            505,30         505,30         0              4454009,31     183,75499      12650,32349    
51             51.dat              -4453895,66    590            391,64         391,64         0              4453895,66     8,37852        12650,32349    
52             52.dat              -4453885,33    590            381,31         381,31         0              4453885,33     48,39919       12650,32349    
53             53.dat              -4454024,22    590            520,20         520,20         0              4454024,22     82,69354       12650,32349    
54             54.dat              -4453889,02    590            385,00         385,00         0              4453889,02     97,32968       12650,32349    
55             55.dat              -4453897,93    590            393,91         393,91         0              4453897,93     245,24700      12650,32349    
56             56.dat              -4454041,53    590            537,51         590,00         1              4454041,53     203,29936      12650,32349    
57             57.dat              -4453896,15    590            392,13         392,13         0              4453896,15     124,16049      12650,32349    
58             58.dat              -4453889,10    590            385,08         385,08         0              4453889,10     107,91779      12650,32349    
59             59.dat              -4453998,42    590            494,40         494,40         0              4453998,42     110,24540      12650,32349    
60             60.dat              -4453910,32    590            406,30         406,30         0              4453910,32     762,45797      12650,32349    
61             61.dat              -4453932,18    590            428,16         428,16         0              4453932,18     286,42300      12650,32349    
62             62.dat              -4453896,10    590            392,08         392,08         0              4453896,10     81,58300       12650,32349    
63             63.dat              -4453890,53    590            386,51         386,51         0              4453890,53     175,74749      12650,32349    
64             64.dat              -4453911,72    590            407,70         407,70         0              4453911,72     78,30396       12650,32349    
65             65.dat              -4453911,60    590            407,58         407,58         0              4453911,60     78,30396       12650,32349    
66             66.dat              -4453895,14    590            391,12         391,12         0              4453895,14     81,58300       12650,32349    
67             67.dat              -4453891,61    590            387,59         387,59         0              4453891,61     109,97975      12650,32349    
68             68.dat              -4453969,71    590            465,69         465,69         0              4453969,71     85,41331       12650,32349    
69             69.dat              -4453907,54    590            403,52         403,52         0              4453907,54     124,16049      12650,32349    
70             70.dat              -4453876,13    590            372,11         372,11         0              4453876,13     126,75375      12650,32349    
71             71.dat              -4454042,36    590            538,34         538,34         0              4454042,36     226,75259      12650,32349    
72             72.dat              -4453970,02    590            466,00         590,00         1              4453970,02     85,41331       12650,32349    
73             73.dat              -4453926,82    590            422,80         422,80         0              4453926,82     192,19259      12650,32349    
74             74.dat              -4453892,50    590            388,48         388,48         0              4453892,50     87,53852       12650,32349    
75             75.dat              -4453907,41    590            403,39         403,39         0              4453907,41     124,16049      12650,32349    
76             76.dat              -4453875,09    590            371,07         371,07         0              4453875,09     126,75375      12650,32349    
77             77.dat              -4453990,77    590            486,75         486,75         0              4453990,77     91,87749       12650,32349    
78             78.dat              -4453998,47    590            494,45         494,45         0              4453998,47     11,79626       12650,32349    
79             79.dat              -4453996,38    590            492,36         492,36         0              4453996,38     183,75499      12650,32349    
80             80.dat              -4453888,90    590            384,88         384,88         0              4453888,90     192,19259      12650,32349    
81             81.dat              -4453945,19    590            441,17         441,17         0              4453945,19     0,00000        12650,32349    
82             82.dat              -4454023,74    590            519,72         519,72         0              4454023,74     101,64335      12650,32349    
83             83.dat              -4453996,38    590            492,36         590,00         1              4453996,38     183,75499      12650,32349    
84             84.dat              -4453907,19    590            403,17         403,17         0              4453907,19     116,17829      12650,32349    
85             85.dat              -4453896,15    590            392,13         392,13         0              4453896,15     0,00000        12650,32349    
86             86.dat              -4453889,04    590            385,02         385,02         0              4453889,04     0,00000        12650,32349    
87             87.dat              -4453887,37    590            383,35         383,35         0              4453887,37     109,97975      12650,32349    
88             88.dat              -4453998,45    590            494,43         494,43         0              4453998,45     11,79626       12650,32349    
89             89.dat              -4453873,02    590            369,00         369,00         0              4453873,02     126,75375      12650,32349    
90             90.dat              -4453960,02    590            456,00         456,00         0              4453960,02     286,42300      12650,32349    
91             91.dat              -4453888,12    590            384,11         384,11         0              4453888,12     109,97975      12650,32349    
92             92.dat              -4453897,88    590            393,86         393,86         0              4453897,88     87,53852       12650,32349    
93             93.dat              -4453889,41    590            385,39         385,39         0              4453889,41     13,28517       12650,32349    
94             94.dat              -4453886,02    590            382,00         590,00         1              4453886,02     5,17871        12650,32349    
95             95.dat              -4453903,92    590            399,90         399,90         0              4453903,92     26,24143       12650,32349    
96             96.dat              -4453970,73    590            466,71         466,71         0              4453970,73     128,13261      12650,32349    
97             97.dat              -4453892,43    590            388,41         388,41         0              4453892,43     124,16049      12650,32349    
98             98.dat              -4453889,25    590            385,23         385,23         0              4453889,25     0,00000        12650,32349    
99             99.dat              -4453891,36    590            387,34         387,34         0              4453891,36     0,00000        12650,32349    
100            100.dat             -4454069,06    590            565,04         565,04         0              4454069,06     101,64335      12650,32349    
101            101.dat             -4453897,71    590            393,69         393,69         0              4453897,71     125,85560      12650,32349    
102            102.dat             -4453901,40    590            397,38         397,38         0              4453901,40     48,39919       12650,32349    
103            103.dat             -4453950,83    590            446,81         446,81         0              4453950,83     160,16260      12650,32349    
104            104.dat             -4453837,99    590            333,97         333,97         0              4453837,99     72,61143       12650,32349    
105            105.dat             -4453903,31    590            399,29         399,29         0              4453903,31     245,24700      12650,32349    
