# Result file for 14_winter_p:
# Time: 2023-01-13T16:10:52.809734200

node_nr        result_name         objective      UP             LMP            LP+            is_competitive total_bal_cost node_load      total_load     
0              balanced.dat        -8229297,58    665            nu             nu             0              8229297,58     null           null           
0              unconstrained.dat   -7403824,69    590            nu             nu             0              7403824,69     null           null           
1              1.dat               -8229845,73    590            548,15         548,15         0              8229845,73     155,34158      20190,35969    
2              2.dat               -8229763,13    590            465,55         465,55         0              8229763,13     136,32263      20190,35969    
3              3.dat               -8229757,04    590            459,47         459,47         0              8229757,04     115,89039      20190,35969    
4              4.dat               -8229857,03    590            559,45         559,45         0              8229857,03     30,01341       20190,35969    
5              5.dat               -8229737,69    590            440,11         440,11         0              8229737,69     361,90509      20190,35969    
6              6.dat               -8229855,56    590            557,98         557,98         0              8229855,56     139,71454      20190,35969    
7              7.dat               -8229870,81    590            573,23         573,23         0              8229870,81     457,14114      20190,35969    
8              8.dat               -8229784,72    590            487,14         487,14         0              8229784,72     30,01341       20190,35969    
9              9.dat               -8230056,74    590            759,16         759,16         0              8230056,74     280,49916      20190,35969    
10             10.dat              -8229871,56    590            573,98         573,98         0              8229871,56     185,42462      20190,35969    
11             11.dat              -8229871,56    590            573,98         573,98         0              8229871,56     77,24680       20190,35969    
12             12.dat              -8229931,64    590            634,06         634,06         0              8229931,64     146,63970      20190,35969    
13             13.dat              -8229855,56    590            557,98         557,98         0              8229855,56     139,71454      20190,35969    
14             14.dat              -8229845,73    590            548,15         548,15         0              8229845,73     155,34158      20190,35969    
15             15.dat              -8230040,97    590            743,40         743,40         0              8230040,97     162,22635      20190,35969    
16             16.dat              -8230019,79    590            722,21         722,21         0              8230019,79     162,22635      20190,35969    
17             17.dat              -8229951,27    590            653,69         653,69         0              8229951,27     293,27940      20190,35969    
18             18.dat              -8229867,91    590            570,33         570,33         0              8229867,91     19,84043       20190,35969    
19             19.dat              -8230141,57    590            844,00         844,00         0              8230141,57     237,11093      20190,35969    
20             20.dat              -8229952,55    590            654,97         654,97         0              8229952,55     119,28230      20190,35969    
21             21.dat              -8229843,69    590            546,11         546,11         0              8229843,69     13,37242       20190,35969    
22             22.dat              -8229842,33    590            544,75         544,75         0              8229842,33     124,97587      20190,35969    
23             23.dat              -8229859,10    590            561,52         561,52         0              8229859,10     340,82677      20190,35969    
24             24.dat              -8229874,82    590            577,24         577,24         0              8229874,82     340,82677      20190,35969    
25             25.dat              -8229884,25    590            586,67         586,67         0              8229884,25     36,46846       20190,35969    
26             26.dat              -8229955,32    590            657,74         657,74         0              8229955,32     175,95553      20190,35969    
27             27.dat              -8229976,17    590            678,60         678,60         0              8229976,17     351,93125      20190,35969    
28             28.dat              -8229636,58    590            339,00         339,00         0              8229636,58     237,11093      20190,35969    
29             29.dat              -8229869,72    590            572,14         572,14         0              8229869,72     146,63970      20190,35969    
30             30.dat              -8229845,16    590            547,58         547,58         0              8229845,16     8,26541        20190,35969    
31             31.dat              -8229757,04    590            459,47         459,47         0              8229757,04     12,40027       20190,35969    
32             32.dat              -8229868,75    590            571,17         571,17         0              8229868,75     8,26541        20190,35969    
33             33.dat              -8229754,18    590            456,60         456,60         0              8229754,18     529,66349      20190,35969    
34             34.dat              -8229919,67    590            622,09         622,09         0              8229919,67     146,63970      20190,35969    
35             35.dat              -8229757,04    590            459,47         459,47         0              8229757,04     115,89039      20190,35969    
36             36.dat              -8229804,88    590            507,30         507,30         0              8229804,88     77,24680       20190,35969    
37             37.dat              -8229790,32    590            492,74         492,74         0              8229790,32     30,01341       20190,35969    
38             38.dat              -8229884,95    590            587,37         587,37         0              8229884,95     8,26541        20190,35969    
