# Result file for 12_winter:
# Time: 2023-01-13T16:30:38.900366300

node_nr        result_name         objective      UP             LMP            LP+            is_competitive total_bal_cost node_load      total_load     
0              balanced.dat        -8107671,65    665            nu             nu             0              8107671,65     null           null           
0              unconstrained.dat   -7302894,78    590            nu             nu             0              7302894,78     null           null           
1              1.dat               -8108016,10    590            344,44         590,00         0              8108016,10     153,69006      19975,70553    
2              2.dat               -8108288,18    590            616,53         590,00         0              8108288,18     134,87331      19975,70553    
3              3.dat               -8108250,53    590            578,88         590,00         0              8108250,53     114,65830      19975,70553    
4              4.dat               -8108099,69    590            428,04         590,00         0              8108099,69     29,69432       19975,70553    
5              5.dat               -8108256,19    590            584,53         590,00         0              8108256,19     358,05749      19975,70553    
6              6.dat               -8108070,97    590            399,32         590,00         0              8108070,97     138,22917      19975,70553    
7              7.dat               -8108206,99    590            535,33         590,00         0              8108206,99     452,28104      19975,70553    
8              8.dat               -8108241,96    590            570,31         590,00         0              8108241,96     29,69432       19975,70553    
9              9.dat               -8108338,87    590            667,21         590,00         0              8108338,87     277,51702      19975,70553    
10             10.dat              -8108206,65    590            535,00         590,00         0              8108206,65     183,45327      19975,70553    
11             11.dat              -8108206,65    590            535,00         590,00         0              8108206,65     76,42555       19975,70553    
12             12.dat              -8108336,78    590            665,12         590,00         0              8108336,78     145,08070      19975,70553    
13             13.dat              -8108070,97    590            399,32         590,00         0              8108070,97     138,22917      19975,70553    
14             14.dat              -8108016,10    590            344,44         590,00         0              8108016,10     153,69006      19975,70553    
15             15.dat              -8108337,91    590            666,25         590,00         0              8108337,91     160,50164      19975,70553    
16             16.dat              -8108336,29    590            664,63         590,00         0              8108336,29     160,50164      19975,70553    
17             17.dat              -8108335,25    590            663,59         590,00         0              8108335,25     290,16140      19975,70553    
18             18.dat              -8108208,26    590            536,61         590,00         0              8108208,26     19,62950       19975,70553    
19             19.dat              -8108361,07    590            689,42         590,00         0              8108361,07     234,59008      19975,70553    
20             20.dat              -8108332,60    590            660,95         590,00         0              8108332,60     118,01415      19975,70553    
21             21.dat              -8108110,93    590            439,28         590,00         0              8108110,93     13,23025       19975,70553    
22             22.dat              -8108222,08    590            550,43         590,00         0              8108222,08     123,64719      19975,70553    
23             23.dat              -8108285,35    590            613,69         590,00         0              8108285,35     337,20326      19975,70553    
24             24.dat              -8108300,45    590            628,79         590,00         0              8108300,45     337,20326      19975,70553    
25             25.dat              -8108314,81    590            643,15         590,00         0              8108314,81     36,08075       19975,70553    
26             26.dat              -8108333,35    590            661,70         590,00         0              8108333,35     174,08485      19975,70553    
27             27.dat              -8108334,74    590            663,09         590,00         0              8108334,74     348,18968      19975,70553    
28             28.dat              -8108010,65    590            339,00         590,00         0              8108010,65     234,59008      19975,70553    
29             29.dat              -8108315,35    590            643,69         590,00         0              8108315,35     145,08070      19975,70553    
30             30.dat              -8108218,23    590            546,58         590,00         0              8108218,23     8,17753        19975,70553    
31             31.dat              -8108250,53    590            578,88         590,00         0              8108250,53     12,26844       19975,70553    
32             32.dat              -8108207,64    590            535,98         590,00         0              8108207,64     8,17753        19975,70553    
33             33.dat              -8108277,66    590            606,01         590,00         0              8108277,66     524,03236      19975,70553    
34             34.dat              -8108337,92    590            666,27         590,00         0              8108337,92     145,08070      19975,70553    
35             35.dat              -8108250,53    590            578,88         590,00         0              8108250,53     114,65830      19975,70553    
36             36.dat              -8108230,26    590            558,61         590,00         0              8108230,26     76,42555       19975,70553    
37             37.dat              -8108266,38    590            594,72         590,00         0              8108266,38     29,69432       19975,70553    
38             38.dat              -8108207,28    590            535,63         590,00         0              8108207,28     8,17753        19975,70553    
39             39.dat              -8108165,82    590            494,16         590,00         0              8108165,82     173,66537      19975,70553    
40             40.dat              -8108099,69    590            428,04         590,00         0              8108099,69     198,73439      19975,70553    
41             41.dat              -8108208,40    590            536,75         590,00         0              8108208,40     183,45327      19975,70553    
42             42.dat              -8108301,54    590            629,89         590,00         0              8108301,54     134,87331      19975,70553    
43             43.dat              -8108252,96    590            581,31         590,00         0              8108252,96     76,42555       19975,70553    
44             44.dat              -8108013,65    590            342,00         590,00         0              8108013,65     196,05770      19975,70553    
45             45.dat              -8108164,81    590            493,16         590,00         0              8108164,81     173,66537      19975,70553    
46             46.dat              -8108333,74    590            662,08         662,08         1              8108333,74     174,08485      19975,70553    
47             47.dat              -8108129,81    590            458,16         590,00         0              8108129,81     138,22917      19975,70553    
48             48.dat              -8108333,31    590            661,65         590,00         0              8108333,31     31,04727       19975,70553    
49             49.dat              -8108229,65    590            558,00         590,00         0              8108229,65     76,42555       19975,70553    
50             50.dat              -8108335,44    590            663,79         590,00         0              8108335,44     290,16140      19975,70553    
51             51.dat              -8108092,17    590            420,51         590,00         0              8108092,17     13,23025       19975,70553    
52             52.dat              -8108223,16    590            551,50         590,00         0              8108223,16     76,42555       19975,70553    
53             53.dat              -8108335,68    590            664,02         590,00         0              8108335,68     130,57862      19975,70553    
54             54.dat              -8108013,65    590            342,00         590,00         0              8108013,65     153,69006      19975,70553    
55             55.dat              -8108154,09    590            482,44         590,00         0              8108154,09     387,26139      19975,70553    
56             56.dat              -8108336,65    590            665,00         665,00         1              8108336,65     321,02326      19975,70553    
57             57.dat              -8108240,41    590            568,75         590,00         0              8108240,41     196,05770      19975,70553    
58             58.dat              -8108016,10    590            344,44         590,00         0              8108016,10     170,40940      19975,70553    
59             59.dat              -8108333,33    590            661,67         590,00         0              8108333,33     174,08485      19975,70553    
60             60.dat              -8108631,92    590            960,26         590,00         0              8108631,92     1203,97204     19975,70553    
