Summary Result file:# Time: 2023-01-13T16:30:39.030044100

dataSetName    total_load     UP_u           UP_c           LMP_min        LMP_arith_avg  LMP_avg_buyer_cost  LMP_median     LMP_max        LP+_min        LP+_arith_avg  LP+_avg_buyer_cost  LP+_median     LP+_max        bal_cost_c     bal_cost_u     constraints_cost    income_UP      income_LMP     income_LP+     surplus_UP     surplus_LMP    surplus_LP+    sys_profit_UP       sys_profit_LMP      sys_profit_LP+      sup_profit_UP       sup_profit_LMP      sup_profit_LP+      lmp_prof_over_up    lp+_prof_over_up    num_of_comp_nodes   
Sorted by default (by data set name):
1_winter_d     14165,08       590            590            339,00         474,58         484,34              460,17         647,77         454,45         585,09         583,48              590,00         590,00         5126891,27     4811147,11     315744,16           8357396,15     6860770,50     8264986,38     3546249,04     1733879,23     3138095,11     0,00                1733879,23          2464540,58          3546249,04          0,00                673554,53           1496625,65          92409,77            7                   
2_winter       14231,62       590            590            339,00         452,90         459,02              421,96         676,12         414,92         584,27         582,86              590,00         590,00         5157562,98     4836764,74     320798,24           8396654,33     6532568,64     8295108,58     3559889,59     1375005,65     3137545,60     0,00                1375005,65          2460827,10          3559889,59          0,00                676718,50           1864085,70          101545,75           7                   
3_winter       14529,00       590            590            339,00         438,72         442,15              408,84         630,10         405,13         583,40         581,88              590,00         590,00         5296364,27     4952419,39     343944,88           8572109,08     6423942,76     8454182,09     3619689,69     1127578,49     3157817,82     0,00                1127578,49          2466958,75          3619689,69          0,00                690859,07           2148166,32          117926,99           7                   
4_winter       14463,81       590            590            339,00         482,35         493,04              475,11         635,43         460,98         585,49         583,93              590,00         590,00         5266886,55     4927057,94     339828,61           8533647,39     7131294,67     8445855,41     3606589,44     1864408,12     3178968,86     0,00                1864408,12          2491209,57          3606589,44          0,00                687759,29           1402352,71          87791,97            7                   
5_winter       14543,87       590            590            339,00         438,72         442,15              408,84         630,10         405,13         583,40         581,88              590,00         590,00         5302941,34     4958220,78     344720,57           8580885,54     6430519,84     8462837,81     3622664,76     1127578,49     3159896,46     0,00                1127578,49          2468330,07          3622664,76          0,00                691566,39           2150365,70          118047,73           7                   
6_winter       14798,93       590            590            339,00         446,72         452,67              420,58         621,14         415,04         583,76         582,22              590,00         590,00         5415983,59     5057692,20     358291,38           8731367,95     6699000,33     8616214,41     3673675,75     1283016,74     3200230,82     0,00                1283016,74          2496536,48          3673675,75          0,00                703694,35           2032367,62          115153,54           7                   
7_winter       16885,71       590            665            339,00         496,20         508,15              461,45         766,64         455,93         587,54         587,23              590,00         665,00         6430176,76     5905196,04     524980,72           9962567,01     8580460,98     9915867,08     4057370,97     2150284,22     3485690,32     0,00                2150284,22          2682768,94          4057370,97          0,00                802921,38           1382106,03          46699,92            7                   
8_winter       18913,61       590            665            339,00         543,82         564,29              543,47         901,02         470,10         589,53         588,92              590,00         665,00         7510864,84     6811593,19     699271,66           11159029,65    10672762,05    11138551,48    4347436,46     3161897,21     3627686,64     0,00                3161897,21          2728337,75          4347436,46          0,00                899348,89           486267,60           20478,17            7                   
9_winter       19635,21       590            665            339,00         538,97         560,88              532,87         828,94         477,00         589,46         589,02              590,00         665,00         7915067,74     7143744,22     771323,52           11584774,35    11013069,57    11565489,15    4441030,14     3098001,83     3650421,41     0,00                3098001,83          2716760,12          4441030,14          0,00                933661,29           571704,78           19285,21            7                   
10_winter      19900,87       590            665            339,00         534,47         559,05              524,41         846,96         477,00         589,39         589,00              590,00         665,00         8064853,39     7267899,55     796953,84           11741510,93    11125641,29    11721621,14    4473611,38     3060787,90     3656767,75     0,00                3060787,90          2710474,47          4473611,38          0,00                946293,28           615869,65           19889,80            7                   
11_winter      19796,09       590            665            339,00         534,58         558,47              524,35         837,88         477,00         589,37         588,98              590,00         665,00         8006318,89     7218713,48     787605,40           11679692,52    11055558,26    11659449,45    4460979,04     3049239,37     3653130,57     0,00                3049239,37          2711819,46          4460979,04          0,00                941311,10           624134,26           20243,07            7                   
12_winter      19975,71       590            665            339,00         569,45         602,45              578,88         960,26         523,55         591,74         592,88              590,00         677,06         8107671,65     7302894,78     804776,88           11785666,26    12034394,03    11843292,54    4482771,49     3926722,37     3735620,89     0,00                3926722,37          2785768,96          4482771,49          0,00                949851,93           -248727,76          -57626,28           7                   
