# Result file for 1_winter_d:
# Time: 2023-01-14T23:29:32.733640600

node_nr        result_name         objective      UP             LMP            LP+            is_competitive total_bal_cost node_load      total_load     
0              balanced.dat        -5126891,27    590            nu             nu             0              5126891,27     null           null           
0              unconstrained.dat   -4811147,11    590            nu             nu             0              4811147,11     null           null           
1              1.dat               -5127270,81    590            379,54         590,00         0              5127270,81     108,98397      14165,07822    
2              2.dat               -5127346,73    590            455,45         590,00         0              5127346,73     95,64073       14165,07822    
3              3.dat               -5127344,43    590            453,16         590,00         0              5127344,43     81,30595       14165,07822    
4              4.dat               -5127373,64    590            482,36         590,00         0              5127373,64     21,05670       14165,07822    
5              5.dat               -5127334,30    590            443,03         590,00         0              5127334,30     253,90404      14165,07822    
6              6.dat               -5127281,10    590            389,82         590,00         0              5127281,10     98,02042       14165,07822    
7              7.dat               -5127351,50    590            460,23         590,00         0              5127351,50     320,71940      14165,07822    
8              8.dat               -5127347,74    590            456,47         590,00         0              5127347,74     21,05670       14165,07822    
9              9.dat               -5127445,10    590            553,83         590,00         0              5127445,10     196,79157      14165,07822    
10             10.dat              -5127351,52    590            460,25         590,00         0              5127351,52     130,08952      14165,07822    
11             11.dat              -5127351,52    590            460,25         590,00         0              5127351,52     54,19452       14165,07822    
12             12.dat              -5127435,39    590            544,11         590,00         0              5127435,39     102,87894      14165,07822    
13             13.dat              -5127281,10    590            389,82         590,00         0              5127281,10     98,02042       14165,07822    
14             14.dat              -5127270,81    590            379,54         590,00         0              5127270,81     108,98397      14165,07822    
15             15.dat              -5127445,18    590            553,90         590,00         0              5127445,18     113,81417      14165,07822    
16             16.dat              -5127446,60    590            555,33         590,00         0              5127446,60     113,81417      14165,07822    
17             17.dat              -5127437,40    590            546,13         590,00         0              5127437,40     205,75788      14165,07822    
18             18.dat              -5127351,44    590            460,17         590,00         0              5127351,44     13,91958       14165,07822    
19             19.dat              -5127456,91    590            565,64         590,00         0              5127456,91     166,35141      14165,07822    
20             20.dat              -5127434,14    590            542,87         590,00         0              5127434,14     83,68564       14165,07822    
21             21.dat              -5127303,95    590            412,68         590,00         0              5127303,95     9,38177        14165,07822    
22             22.dat              -5127342,49    590            451,22         590,00         0              5127342,49     87,68011       14165,07822    
23             23.dat              -5127380,51    590            489,24         590,00         0              5127380,51     239,11599      14165,07822    
24             24.dat              -5127392,66    590            501,38         590,00         0              5127392,66     239,11599      14165,07822    
25             25.dat              -5127402,20    590            510,93         590,00         0              5127402,20     25,58541       14165,07822    
26             26.dat              -5127435,41    590            544,14         590,00         0              5127435,41     123,44623      14165,07822    
27             27.dat              -5127439,06    590            547,79         590,00         0              5127439,06     246,90663      14165,07822    
28             28.dat              -5127230,27    590            339,00         590,00         0              5127230,27     166,35141      14165,07822    
29             29.dat              -5127397,15    590            505,88         590,00         0              5127397,15     102,87894      14165,07822    
30             30.dat              -5127350,93    590            459,66         590,00         0              5127350,93     5,79881        14165,07822    
31             31.dat              -5127344,43    590            453,16         590,00         0              5127344,43     8,69974        14165,07822    
32             32.dat              -5127351,29    590            460,02         590,00         0              5127351,29     5,79881        14165,07822    
33             33.dat              -5127342,28    590            451,01         590,00         0              5127342,28     371,59936      14165,07822    
34             34.dat              -5127434,28    590            543,01         590,00         0              5127434,28     102,87894      14165,07822    
35             35.dat              -5127344,43    590            453,16         590,00         0              5127344,43     81,30595       14165,07822    
36             36.dat              -5127346,28    590            455,01         590,00         0              5127346,28     54,19452       14165,07822    
37             37.dat              -5127357,18    590            465,91         590,00         0              5127357,18     21,05670       14165,07822    
38             38.dat              -5127350,54    590            459,27         590,00         0              5127350,54     5,79881        14165,07822    
39             39.dat              -5127313,91    590            422,64         590,00         0              5127313,91     123,14877      14165,07822    
40             40.dat              -5127373,64    590            482,36         590,00         0              5127373,64     140,92560      14165,07822    
41             41.dat              -5127351,44    590            460,17         590,00         0              5127351,44     130,08952      14165,07822    
42             42.dat              -5127352,18    590            460,91         590,00         0              5127352,18     95,64073       14165,07822    
43             43.dat              -5127349,17    590            457,90         590,00         0              5127349,17     54,19452       14165,07822    
44             44.dat              -5127270,27    590            379,00         590,00         0              5127270,27     139,02751      14165,07822    
45             45.dat              -5127313,56    590            422,29         590,00         0              5127313,56     123,14877      14165,07822    
46             46.dat              -5127436,07    590            544,80         544,80         1              5127436,07     123,44623      14165,07822    
47             47.dat              -5127330,49    590            439,22         590,00         0              5127330,49     98,02042       14165,07822    
48             48.dat              -5127436,47    590            545,20         590,00         0              5127436,47     22,01609       14165,07822    
49             49.dat              -5127346,20    590            454,93         590,00         0              5127346,20     54,19452       14165,07822    
50             50.dat              -5127439,69    590            548,41         590,00         0              5127439,69     205,75788      14165,07822    
51             51.dat              -5127297,44    590            406,17         590,00         0              5127297,44     9,38177        14165,07822    
52             52.dat              -5127325,79    590            434,52         590,00         0              5127325,79     54,19452       14165,07822    
53             53.dat              -5127441,84    590            550,57         590,00         0              5127441,84     92,59530       14165,07822    
54             54.dat              -5127270,27    590            379,00         590,00         0              5127270,27     108,98397      14165,07822    
55             55.dat              -5127350,77    590            459,50         590,00         0              5127350,77     274,61298      14165,07822    
56             56.dat              -5127445,27    590            554,00         554,00         1              5127445,27     227,64250      14165,07822    
57             57.dat              -5127338,38    590            447,11         590,00         0              5127338,38     139,02751      14165,07822    
58             58.dat              -5127270,81    590            379,54         590,00         0              5127270,81     120,83991      14165,07822    
59             59.dat              -5127435,37    590            544,10         590,00         0              5127435,37     123,44623      14165,07822    
60             60.dat              -5127454,93    590            563,66         590,00         0              5127454,93     853,75499      14165,07822    
61             61.dat              -5127350,48    590            459,21         590,00         0              5127350,48     320,71940      14165,07822    
62             62.dat              -5127340,32    590            449,05         590,00         0              5127340,32     91,35178       14165,07822    
63             63.dat              -5127276,63    590            385,36         590,00         0              5127276,63     196,79157      14165,07822    
64             64.dat              -5127351,72    590            460,45         590,00         0              5127351,72     87,68011       14165,07822    
65             65.dat              -5127351,54    590            460,27         590,00         0              5127351,54     87,68011       14165,07822    
66             66.dat              -5127375,89    590            484,62         590,00         0              5127375,89     91,35178       14165,07822    
67             67.dat              -5127278,46    590            387,19         590,00         0              5127278,46     123,14877      14165,07822    
68             68.dat              -5127441,34    590            550,06         590,00         0              5127441,34     95,64073       14165,07822    
69             69.dat              -5127345,72    590            454,45         454,45         1              5127345,72     139,02751      14165,07822    
70             70.dat              -5127339,87    590            448,60         590,00         0              5127339,87     141,93130      14165,07822    
71             71.dat              -5127447,69    590            556,42         590,00         0              5127447,69     253,90404      14165,07822    
72             72.dat              -5127434,38    590            543,11         543,11         1              5127434,38     95,64073       14165,07822    
73             73.dat              -5127449,25    590            557,98         590,00         0              5127449,25     215,20581      14165,07822    
74             74.dat              -5127281,27    590            390,00         590,00         0              5127281,27     98,02042       14165,07822    
75             75.dat              -5127429,73    590            538,46         590,00         0              5127429,73     139,02751      14165,07822    
76             76.dat              -5127338,05    590            446,78         590,00         0              5127338,05     141,93130      14165,07822    
77             77.dat              -5127436,49    590            545,22         590,00         0              5127436,49     102,87894      14165,07822    
78             78.dat              -5127435,40    590            544,13         590,00         0              5127435,40     13,20875       14165,07822    
79             79.dat              -5127437,46    590            546,18         590,00         0              5127437,46     205,75788      14165,07822    
80             80.dat              -5127359,98    590            468,71         590,00         0              5127359,98     215,20581      14165,07822    
81             81.dat              -5127399,68    590            508,41         590,00         0              5127399,68     0,00000        14165,07822    
82             82.dat              -5127442,17    590            550,90         590,00         0              5127442,17     113,81417      14165,07822    
83             83.dat              -5127437,46    590            546,18         546,18         1              5127437,46     205,75788      14165,07822    
84             84.dat              -5127351,49    590            460,22         590,00         0              5127351,49     130,08952      14165,07822    
85             85.dat              -5127338,38    590            447,11         590,00         0              5127338,38     0,00000        14165,07822    
86             86.dat              -5127270,61    590            379,34         590,00         0              5127270,61     0,00000        14165,07822    
87             87.dat              -5127309,09    590            417,82         590,00         0              5127309,09     123,14877      14165,07822    
88             88.dat              -5127435,39    590            544,12         590,00         0              5127435,39     13,20875       14165,07822    
89             89.dat              -5127334,30    590            443,03         590,00         0              5127334,30     141,93130      14165,07822    
90             90.dat              -5127349,15    590            457,88         590,00         0              5127349,15     320,71940      14165,07822    
91             91.dat              -5127285,64    590            394,37         590,00         0              5127285,64     123,14877      14165,07822    
92             92.dat              -5127327,67    590            436,40         590,00         0              5127327,67     98,02042       14165,07822    
93             93.dat              -5127272,08    590            380,81         590,00         0              5127272,08     14,87594       14165,07822    
94             94.dat              -5127273,27    590            382,00         590,00         0              5127273,27     5,79881        14165,07822    
95             95.dat              -5127346,70    590            455,43         455,43         1              5127346,70     29,38359       14165,07822    
96             96.dat              -5127416,13    590            524,86         590,00         0              5127416,13     143,47526      14165,07822    
97             97.dat              -5127370,34    590            479,07         590,00         0              5127370,34     139,02751      14165,07822    
98             98.dat              -5127271,93    590            380,66         590,00         0              5127271,93     0,00000        14165,07822    
99             99.dat              -5127277,76    590            386,49         590,00         0              5127277,76     0,00000        14165,07822    
100            100.dat             -5127445,07    590            553,80         590,00         0              5127445,07     113,81417      14165,07822    
101            101.dat             -5127333,32    590            442,05         590,00         0              5127333,32     140,92560      14165,07822    
102            102.dat             -5127343,57    590            452,30         590,00         0              5127343,57     54,19452       14165,07822    
103            103.dat             -5127409,73    590            518,46         590,00         0              5127409,73     179,34053      14165,07822    
104            104.dat             -5127539,04    590            647,77         590,00         0              5127539,04     81,30595       14165,07822    
105            105.dat             -5127347,11    590            455,84         590,00         0              5127347,11     274,61298      14165,07822    
106            106.dat             -5127349,27    590            458,00         458,00         1              5127349,27     320,71940      14165,07822    
107            107.dat             -5127422,31    590            531,04         590,00         0              5127422,31     179,34053      14165,07822    
108            108.dat             -5127452,18    590            560,90         590,00         0              5127452,18     27,16773       14165,07822    
109            109.dat             -5127344,43    590            453,16         590,00         0              5127344,43     81,30595       14165,07822    
110            110.dat             -5127415,41    590            524,14         590,00         0              5127415,41     91,35178       14165,07822    
111            111.dat             -5127270,81    590            379,54         590,00         0              5127270,81     120,83991      14165,07822    
112            112.dat             -5127246,88    590            355,61         590,00         0              5127246,88     113,81417      14165,07822    
113            113.dat             -5127411,34    590            520,07         590,00         0              5127411,34     8,95436        14165,07822    
114            114.dat             -5127344,76    590            453,49         590,00         0              5127344,76     141,93130      14165,07822    
115            115.dat             -5127402,90    590            511,63         590,00         0              5127402,90     0,00000        14165,07822    
116            116.dat             -5127442,09    590            550,82         590,00         0              5127442,09     92,59530       14165,07822    
117            117.dat             -5127427,32    590            536,05         590,00         0              5127427,32     83,68564       14165,07822    
# Result file end ---
