# Result file for 3_winter:
# Time: 2023-01-14T23:07:45.258076700

node_nr        result_name         objective      UP             LMP            LP+            is_competitive total_bal_cost node_load      total_load     
0              balanced.dat        -5296364,27    590            nu             nu             0              5296364,27     null           null           
0              unconstrained.dat   -4952419,39    590            nu             nu             0              4952419,39     null           null           
1              1.dat               -5296749,12    590            384,85         384,85         0              5296749,12     111,78392      14528,99844    
2              2.dat               -5296749,75    590            385,48         385,48         0              5296749,75     98,09787       14528,99844    
3              3.dat               -5296753,92    590            389,65         389,65         0              5296753,92     83,39481       14528,99844    
4              4.dat               -5296757,30    590            393,03         393,03         0              5296757,30     21,59767       14528,99844    
5              5.dat               -5296741,27    590            377,00         377,00         0              5296741,27     260,42718      14528,99844    
6              6.dat               -5296754,18    590            389,91         389,91         0              5296754,18     100,53869      14528,99844    
7              7.dat               -5296772,74    590            408,47         408,47         0              5296772,74     328,95912      14528,99844    
8              8.dat               -5296799,18    590            434,91         434,91         0              5296799,18     21,59767       14528,99844    
9              9.dat               -5296941,61    590            577,34         577,34         0              5296941,61     201,84741      14528,99844    
10             10.dat              -5296772,39    590            408,12         408,12         0              5296772,39     133,43170      14528,99844    
11             11.dat              -5296772,39    590            408,12         408,12         0              5296772,39     55,58686       14528,99844    
12             12.dat              -5296851,18    590            486,91         486,91         0              5296851,18     105,52204      14528,99844    
13             13.dat              -5296754,18    590            389,91         389,91         0              5296754,18     100,53869      14528,99844    
14             14.dat              -5296749,12    590            384,85         384,85         0              5296749,12     111,78392      14528,99844    
15             15.dat              -5296931,47    590            567,20         567,20         0              5296931,47     116,73821      14528,99844    
16             16.dat              -5296917,40    590            553,13         553,13         0              5296917,40     116,73821      14528,99844    
17             17.dat              -5296861,55    590            497,28         497,28         0              5296861,55     211,04409      14528,99844    
18             18.dat              -5296774,08    590            409,81         409,81         0              5296774,08     14,27719       14528,99844    
19             19.dat              -5296994,37    590            630,10         630,10         0              5296994,37     170,62521      14528,99844    
20             20.dat              -5296912,82    590            548,55         548,55         0              5296912,82     85,83564       14528,99844    
21             21.dat              -5296761,30    590            397,03         397,03         0              5296761,30     9,62280        14528,99844    
22             22.dat              -5296775,50    590            411,23         411,23         0              5296775,50     89,93273       14528,99844    
23             23.dat              -5296807,54    590            443,27         443,27         0              5296807,54     245,25920      14528,99844    
24             24.dat              -5296823,92    590            459,65         459,65         0              5296823,92     245,25920      14528,99844    
25             25.dat              -5296833,25    590            468,98         468,98         0              5296833,25     26,24273       14528,99844    
26             26.dat              -5296916,41    590            552,14         552,14         0              5296916,41     126,61773      14528,99844    
27             27.dat              -5296913,74    590            549,47         549,47         0              5296913,74     253,25000      14528,99844    
28             28.dat              -5296703,27    590            339,00         339,00         0              5296703,27     170,62521      14528,99844    
29             29.dat              -5296817,01    590            452,74         452,74         0              5296817,01     105,52204      14528,99844    
30             30.dat              -5296784,33    590            420,06         420,06         0              5296784,33     5,94779        14528,99844    
31             31.dat              -5296753,92    590            389,65         389,65         0              5296753,92     8,92324        14528,99844    
32             32.dat              -5296772,55    590            408,28         408,28         0              5296772,55     5,94779        14528,99844    
33             33.dat              -5296746,54    590            382,27         382,27         0              5296746,54     381,14626      14528,99844    
34             34.dat              -5296844,50    590            480,23         480,23         0              5296844,50     105,52204      14528,99844    
35             35.dat              -5296753,92    590            389,65         389,65         0              5296753,92     83,39481       14528,99844    
36             36.dat              -5296777,24    590            412,97         412,97         0              5296777,24     55,58686       14528,99844    
37             37.dat              -5296831,22    590            466,95         466,95         0              5296831,22     21,59767       14528,99844    
38             38.dat              -5296771,64    590            407,37         407,37         0              5296771,64     5,94779        14528,99844    
39             39.dat              -5296752,31    590            388,04         388,04         0              5296752,31     126,31263      14528,99844    
40             40.dat              -5296757,30    590            393,03         393,03         0              5296757,30     144,54617      14528,99844    
41             41.dat              -5296774,23    590            409,96         409,96         0              5296774,23     133,43170      14528,99844    
42             42.dat              -5296753,60    590            389,33         389,33         0              5296753,60     98,09787       14528,99844    
43             43.dat              -5296820,12    590            455,85         455,85         0              5296820,12     55,58686       14528,99844    
44             44.dat              -5296748,95    590            384,68         384,68         0              5296748,95     142,59932      14528,99844    
45             45.dat              -5296752,33    590            388,06         388,06         0              5296752,33     126,31263      14528,99844    
46             46.dat              -5296918,27    590            554,00         590,00         1              5296918,27     126,61773      14528,99844    
47             47.dat              -5296761,29    590            397,02         397,02         0              5296761,29     100,53869      14528,99844    
48             48.dat              -5296844,88    590            480,61         480,61         0              5296844,88     22,58172       14528,99844    
49             49.dat              -5296776,09    590            411,82         411,82         0              5296776,09     55,58686       14528,99844    
50             50.dat              -5296879,42    590            515,15         515,15         0              5296879,42     211,04409      14528,99844    
51             51.dat              -5296758,91    590            394,64         394,64         0              5296758,91     9,62280        14528,99844    
52             52.dat              -5296752,66    590            388,39         388,39         0              5296752,66     55,58686       14528,99844    
53             53.dat              -5296909,54    590            545,27         545,27         0              5296909,54     94,97420       14528,99844    
54             54.dat              -5296748,95    590            384,68         384,68         0              5296748,95     111,78392      14528,99844    
55             55.dat              -5296761,53    590            397,26         397,26         0              5296761,53     281,66816      14528,99844    
56             56.dat              -5296918,27    590            554,00         590,00         1              5296918,27     233,49095      14528,99844    
57             57.dat              -5296764,41    590            400,14         400,14         0              5296764,41     142,59932      14528,99844    
58             58.dat              -5296749,12    590            384,85         384,85         0              5296749,12     123,94445      14528,99844    
59             59.dat              -5296916,29    590            552,02         552,02         0              5296916,29     126,61773      14528,99844    
60             60.dat              -5296792,71    590            428,44         428,44         0              5296792,71     875,68912      14528,99844    
61             61.dat              -5296795,52    590            431,25         431,25         0              5296795,52     328,95912      14528,99844    
62             62.dat              -5296764,60    590            400,33         400,33         0              5296764,60     93,69874       14528,99844    
63             63.dat              -5296751,24    590            386,97         386,97         0              5296751,24     201,84741      14528,99844    
64             64.dat              -5296781,67    590            417,40         417,40         0              5296781,67     89,93273       14528,99844    
65             65.dat              -5296781,39    590            417,12         417,12         0              5296781,39     89,93273       14528,99844    
66             66.dat              -5296768,09    590            403,82         403,82         0              5296768,09     93,69874       14528,99844    
67             67.dat              -5296752,91    590            388,64         388,64         0              5296752,91     126,31263      14528,99844    
68             68.dat              -5296841,24    590            476,97         476,97         0              5296841,24     98,09787       14528,99844    
69             69.dat              -5296776,68    590            412,41         590,00         1              5296776,68     142,59932      14528,99844    
70             70.dat              -5296744,98    590            380,71         380,71         0              5296744,98     145,57770      14528,99844    
71             71.dat              -5296918,01    590            553,74         553,74         0              5296918,01     260,42718      14528,99844    
72             72.dat              -5296840,59    590            476,32         590,00         1              5296840,59     98,09787       14528,99844    
73             73.dat              -5296805,94    590            441,67         441,67         0              5296805,94     220,73474      14528,99844    
74             74.dat              -5296754,27    590            390,00         390,00         0              5296754,27     100,53869      14528,99844    
75             75.dat              -5296786,74    590            422,47         422,47         0              5296786,74     142,59932      14528,99844    
76             76.dat              -5296743,75    590            379,48         379,48         0              5296743,75     145,57770      14528,99844    
77             77.dat              -5296857,85    590            493,58         493,58         0              5296857,85     105,52204      14528,99844    
