Table 4 -  Hourly Peak Load in Percent of Daily Peak

         winter weeks      summer weeks     spring/fall weeks
        1 -8 & 44 - 52        18 -30         9-17 & 31 - 43
Hour     Wkdy     Wknd     Wkdy     Wknd     Wkdy     Wknd
-------------------------------------------------------------
0-1       67       78       82       74       63       75
1-2       63       72       76       70       62       73
2-3       60       68       76       66       60       69
3-4       59       66       77       65       58       66
4-5       59       64       77       64       59       65
5-6       60       65       79       62       65       65
6-7       74       66       91       62       72       68
7-8       86       70      100       66       85       74
8-9       95       80       98       81       95       83
9-10      96       88       86       86       99       89
10-11     96       90       77       91      100       92
11-12     95       91       76       93       99       94
12-13     95       90       77       93       93       91
13-14     95       88       75       92       92       90
14-15     93       87       72       91       90       90
15-16     94       87       72       91       88       86
16-17     99       91       74       92       90       85
17-18    100      100       77       94       92       88
18-19    100       99       83       95       96       92
19-20     96       97       92       95       98      100
20-21     91       94       98      100       96       97
21-22     83       92       96       93       90       95
22-23     73       87       86       88       80       90
23-24     63       81       78       80       70       85
-999
